Place_ID,Place_Name,District,Category,Description,Latitude,Longitude,Address,Entry_Fee_INR,Opening_Time,Closing_Time,Best_Season,Visit_Duration_Hours,Popularity_Level,Family_Friendly,Adventure_Level,Accessibility,Parking_Available,Washroom_Available,Wheelchair_Accessible,Official_Website,Image_URL,Status,Created_Date,Updated_Date
MP012,Red Hill (Maibam Lokpaching),BISHNUPUR,Historical,A hillock where British and Japanese forces fought a fierce battle during World War II. Features the 'India Peace Memorial' monument honouring the Japanese soldiers who died there.,24.65,93.75,"Tiddim Road (NH-150), Bishnupur, Manipur",0,08:00 Ayuk,,Winter,1,Medium,Yes,Low,Good,Yes,No,No,https://manipurtourism.gov.in,https://example.com/redhill.jpg,Open,18-03-2024,05-12-2025
MP013,Shaheed Minar,Imphal West,Memorial,"Tall minar commemorating the Meitei and tribal martyrs who sacrificed their lives fighting the British in 1891. Located in Bir Tikendrajit Park, it is a prominent landmark in the city.",24.8167,93.9333,"Bir Tikendrajit Park, Imphal West, Manipur",0,08:00 Ayuk,06:00 Nungthil,All Season,1,High,Yes,Low,Excellent,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/shaheed.jpg,Open,20-06-2023,15-07-2025
MP014,Sendra Island,Bishnupur,Lake,An island located on Loktak Lake offering panoramic views of the lake and floating phumdis. Popular for boating and photography. The island provides a unique vantage point to observe the floating vegetation.,24.55,93.8,"Loktak Lake, Bishnupur, Manipur",20,25:00 AM,05:00 Nungthil,Winter,2,High,Yes,Low,Good,Yes,Yes,No,https://manipurtourism.gov.in,https://example.com/sendra.jpg,Open,22-07-2024,11-10-2025
MP015,Moirang,Bishnupur,Cultural,A quaint town where Netaji Subhas Chandra Bose and the Indian National Army fought the British. It is known for the INA Memorial and its serene lakeside location.,24.5,93.7667,"Moirang, Bishnupur, Manipur",0,Open All Day,Open All Day,Winter,1,Medium,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/moirang.jpg,Open,30-07-2023,12-09-2025
MP016,Singda Dam,Imphal West,waterfall,World's tallest mud dam offering scenic views of rice paddies and green hills. The peaceful reservoir behind the dam is ideal for picnics and nature walks.,24.7333,93.85,"Imphal West, Manipur",0,08:00 Ayuk,05:00 Nungthil,Winter,2,Low,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/singda.jpg,Open,01-05-2024,18-11-2025
MP017,INA Memorial Complex,Moirang,Historical,Memorial dedicated to the Indian National Army and Netaji Subhas Chandra Bose. The complex features a bronze statue of Netaji and a museum displaying INA relics and historical photographs.,24.5,93.7667,"Moirang, Bishnupur, Manipur",0,09:00 Ayuk,05:00 Nungthil,Winter,1,Medium,Yes,Low,Good,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/ina.jpg,Open,08-09-2023,01-08-2025
MP018,Tharon Cave,Tamenglong,Adventure,"Ancient cave system with complex tunnels, five exits, and 34 junctions featuring beautiful stalactite and stalagmite formations. Popular among trekkers and adventure enthusiasts.",24.9833,93.5,"Near Tamenglong, Manipur",50,08:00 Ayuk,04:00 Nungthil,Winter,3,Medium,No,High,Limited,No,No,No,https://manipurtourism.gov.in,https://example.com/tharon.jpg,Open,05-11-2023,20-10-2025
MP019,Santhei Natural Park,Imphal East,Eco Tourism,"Hidden eco-tourism spot with crystal-clear water, green valleys, and designated picnic areas. The park is well-maintained and perfect for a relaxing family getaway.",24.9,94.05,"Andro, Imphal East, Manipur",30,08:00 Ayuk,05:00 Nungthil,Winter,2,Medium,Yes,Low,Good,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/santhei.jpg,Open,12-01-2024,21-12-2025
MP020,Mutua Museum,Imphal East,Museum,"Cultural complex housing pottery, rare coins, manuscripts, paintings, and replicas of traditional tribal houses. It provides deep insights into Manipur's artistic heritage.",24.9,94.05,"Andro Village, Imphal East, Manipur",50,09:00 Ayuk,05:00 Nungthil,Winter,2,Low,Yes,Low,Good,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/mutua.jpg,Open,25-12-2023,25-11-2025
MP021,Sirui (Shirui) National Park,Ukhrul,Wildlife,Home to the rare Shirui lily (state flower of Manipur) found only in the Shirui Hill Range. The park also houses diverse bird species and small mammals.,25.12,94.45,"Shirui Hills, Ukhrul, Manipur",50,08:00 Ayuk,05:00 Nungthil,Summer,3,High,Yes,Medium,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/shirui.jpg,Open,28-02-2024,28-07-2025
MP022,Shirui Hills,Ukhrul,Natural,Scenic hill range famous for the rare Shirui lily and panoramic views of Ukhrul's rolling landscapes. The hills offer moderate trekking opportunities and breathtaking sunrises.,0,0,"Ukhrul, Manipur",0,Open All Day,Open All Day,Summer,3,High,Yes,Medium,Good,No,No,No,https://manipurtourism.gov.in,https://example.com/shiruihills.jpg,Open,15-05-2023,22-09-2025
MP023,Dzuko Valley,Senapati,Valley,Beautiful valley known for Dzukou lilies and pristine green landscapes. Popular among trekkers for its gentle slopes and spectacular views of the surrounding mountains.,25.5,94,"Senapati, Manipur",0,Open All Day,Open All Day,Monsoon,4,Medium,Yes,High,Limited,No,No,No,https://manipurtourism.gov.in,https://example.com/dzuko.jpg,Seasonal,01-07-2023,14-08-2025
MP024,Leimaram Waterfall,Bishnupur,Waterfall,"Scenic waterfall near Loktak Lake. The water cascades down from a moderate height into a clear pool, making it a popular spot for photography and picnics.",24.5167,93.8167,"Near Loktak Lake, Bishnupur, Manipur",20,08:00 Ayuk,05:00 Nungthil,Monsoon,2,Medium,Yes,Low,Good,Yes,No,No,https://manipurtourism.gov.in,https://example.com/leimaram.jpg,Open,10-03-2024,07-10-2025
MP025,Langthabal,Imphal West,Historical,"Ancient village with historical ruins and remnants of old fortifications. It holds archaeological significance, offering glimpses into Manipur's pre-colonial history.",24.7333,93.9167,"Imphal West, Manipur",0,08:00 Ayuk,05:00 Nungthil,Winter,1,Low,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/langthabal.jpg,Open,20-10-2023,30-11-2025
MP026,Khongjom War Memorial,Thoubal,Memorial,Memorial commemorating the Anglo-Manipur War of 1891. The site features a tall pillar and statues of Manipuri warriors who fought against the British.,24.5,94,"Khongjom, Thoubal, Manipur",0,09:00 Ayuk,05:00 Nungthil,Winter,1,Medium,Yes,Low,Good,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/khongjom.jpg,Open,22-08-2023,15-12-2025
MP027,Andro Village,Imphal East,Cultural,Traditional village known for its pottery and unique cultural practices. Visitors can observe traditional Manipuri potters at work and explore the Mutua Museum nearby.,24.9,94.05,"Andro, Imphal East, Manipur",0,Open All Day,Open All Day,All Season,2,Medium,Yes,Low,Good,Yes,No,No,https://manipurtourism.gov.in,https://example.com/andro.jpg,Open,18-04-2024,01-09-2025
MP028,Kakching Garden,Kakching,Park,"Serene and lesser-visited public park in Kakching district. It is well-maintained with flowering plants, walking paths, and seating areas ideal for a peaceful retreat.",24.4833,93.9833,"Kakching, Manipur",20,08:00 Ayuk,05:00 Nungthil,Winter,1,Low,Yes,Low,Average,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/kakching.jpg,Open,15-11-2023,18-10-2025
MP029,Moreh,Tengnoupal,Cultural,"Picturesque town on the Indo-Myanmar border. Known for its bustling border market, cross-cultural trade, and as a gateway to Southeast Asia.",24.2667,94.3,"Moreh, Tengnoupal, Manipur",0,Open All Day,Open All Day,Winter,1,Medium,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/moreh.jpg,Open,01-06-2024,22-08-2025
MP030,Tamenglong,Tamenglong,Hill,"Hidden gem with dense forests, big waterfalls, and abundant birdlife. Known for deep gorges, orange orchards, and the Zeilad Lake.",24.9833,93.5,"Tamenglong, Manipur",0,Open All Day,Open All Day,Winter,1,Low,Yes,Medium,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/tamenglong.jpg,Open,28-09-2023,12-11-2025
MP031,Barak Waterfalls,Tamenglong,Waterfall,Cascading waterfalls that fall in steps forming small natural pools. The area is surrounded by thick forests and is a beautiful spot for nature lovers.,24.9833,93.5,"Tamenglong, Manipur",0,08:00 Ayuk,05:00 Nungthil,Monsoon,2,Low,Yes,Medium,Limited,No,No,No,https://manipurtourism.gov.in,https://example.com/barak.jpg,Open,15-07-2024,28-09-2025
MP032,Zeilad Lake,Tamenglong,Lake,"Lake famous for its variety of fishes, birds, and pythons. The pristine water and surrounding hills make it an ideal spot for birdwatching.",24.9833,93.5,"Tamenglong, Manipur",0,08:00 Ayuk,05:00 Nungthil,Winter,2,Low,Yes,Low,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/zeilad.jpg,Open,12-12-2023,05-10-2025
MP033,Ukhrul,Ukhrul,Hill,"The highest hill station of Manipur. Known for scenic landscapes, the rare Shirui lily, and adventure trekking opportunities along the hill ridges.",25.12,94.45,"Ukhrul, Manipur",0,Open All Day,Open All Day,Summer,3,Medium,Yes,High,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/ukhrul.jpg,Open,05-01-2024,30-08-2025
MP034,Senapati,Senapati,Hill,A nature lover's paradise with preserved natural beauty. The district is known for its moderate climate and picturesque villages.,25.2667,94.0167,"Senapati, Manipur",0,Open All Day,Open All Day,Winter,1,Low,Yes,Low,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/senapati.jpg,Open,01-10-2023,19-07-2025
MP035,Churachandpur (Lamka),Churachandpur,Hill,Town on Tiddim Road known for its vibrant tribal culture and scenic surroundings. It is the headquarters of Churachandpur district.,24.3333,93.6833,"Churachandpur, Manipur",0,Open All Day,Open All Day,Winter,1,Medium,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/lamka.jpg,Open,10-02-2024,02-12-2025
MP036,Sadu Chiru Waterfall,Imphal West,Waterfall,"Scenic waterfall near Imphal. Surrounded by lush greenery, it is a popular weekend picnic destination for locals.",24.8,93.9,"Imphal West, Manipur",20,08:00 Ayuk,05:00 Nungthil,Monsoon,1,Medium,Yes,Low,Good,Yes,No,No,https://manipurtourism.gov.in,https://example.com/saduchiru.jpg,Open,05-08-2023,05-11-2025
MP037,Khoupum Waterfall,Imphal West,waterfall,"Beautiful waterfall located in the Imphal region. The water cascades down a rocky terrain, creating a serene environment.",24.8,93.9,"Imphal West, Manipur",20,08:00 Ayuk,05:00 Nungthil,Monsoon,1,Low,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/khoupum.jpg,Open,22-05-2024,15-09-2025
MP038,Kanglatongbi Shantipur Waterfall,Imphal West,Waterfall,Scenic waterfall near Kanglatongbi. The spot is surrounded by green hills and is popular among nature enthusiasts.,24.8167,93.8833,"Imphal West, Manipur",20,08:00 Ayuk,05:00 Nungthil,Monsoon,1,Low,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/kanglatongbi.jpg,Open,20-11-2023,08-08-2025
MP039,Phangrei Hills,Ukhrul,Hill,"Breathtaking hilltop with panoramic views of Ukhrul's rolling landscapes. Ideal for camping, trekking, and stargazing away from city lights.",25.12,94.45,"Ukhrul, Manipur",0,Open All Day,Open All Day,Summer,4,Medium,Yes,High,Limited,No,No,No,https://manipurtourism.gov.in,https://example.com/phangrei.jpg,Open,15-03-2024,25-10-2025
MP040,Khangkhui Cave,Ukhrul,Adventure,Natural limestone cave in Ukhrul featuring large chambers and interesting rock formations. Adventure seekers enjoy exploring its dark interiors.,25.12,94.45,"Ukhrul, Manipur",30,08:00 Ayuk,04:00 Nungthil,Winter,2,Low,No,High,Limited,No,No,No,https://manipurtourism.gov.in,https://example.com/khangkhui.jpg,Open,25-07-2023,19-12-2025
MP041,Khayang,Ukhrul,Hill,Scenic spot in Ukhrul known for its natural beauty and tranquillity. Offers pristine views of the surrounding valleys and forests.,25.12,94.45,"Ukhrul, Manipur",0,Open All Day,Open All Day,Summer,1,Low,Yes,Medium,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/khayang.jpg,Open,18-06-2024,08-11-2025
MP042,Komlakhong Chingthi Hill,Imphal East,Hill,Open natural site with no entry fee. Recommended to visit early morning for the best sunrise experience.,24.8667,94,"Imphal East, Manipur",0,05:00 Ayuk,06:00 Nungthil,Winter,1,Low,Yes,Low,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/komlakhong.jpg,Open,05-09-2023,25-09-2025
MP043,Keirao Wangkhem,Imphal East,Cultural,Public residential and agricultural area known for eco-tourism and cultural heritage. Visitors can experience rural Manipuri life.,24.8333,94,"Imphal East, Manipur",0,08:00 Ayuk,05:00 Nungthil,All Season,1,Low,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/keirao.jpg,Open,25-04-2024,12-10-2025
MP044,Lhunjang Village,Imphal East,Cultural,Traditional village where it is customary to offer a small donation to the village headman. The village is known for its preserved ancient customs.,24.8667,94,"Imphal East, Manipur",0,08:00 Ayuk,05:00 Nungthil,Winter,1,Low,Yes,Low,Limited,No,No,No,https://manipurtourism.gov.in,https://example.com/lhunjang.jpg,Open,01-12-2023,20-08-2025
MP045,Polo Ground (Mapal Kangjeibung),Imphal West,Historical,"Historic polo ground where Manipur, the birthplace of modern polo, is celebrated. The ground is located in the heart of Imphal.",24.8,93.9333,"Imphal West, Manipur",0,08:00 Ayuk,06:00 Nungthil,Winter,1,Medium,Yes,Low,Excellent,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/polo.jpg,Open,28-01-2024,28-11-2025
MP046,Khuman Lampak Main Stadium,Imphal West,Park,A major sports stadium in Imphal hosting various sporting events and athletic meets.,24.8,93.9333,"Imphal West, Manipur",0,08:00 Ayuk,06:00 Nungthil,All Season,1,Medium,Yes,Low,Good,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/stadium.jpg,Open,10-10-2023,22-12-2025
MP047,Sangaithel Park & Resort,Imphal West,Park,A park and resort offering scenic views and recreational activities including boating and children's play areas.,24.7833,93.9,"Imphal West, Manipur",50,08:00 Ayuk,06:00 Nungthil,Winter,2,Medium,Yes,Low,Good,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/sangaithel.jpg,Open,20-02-2024,10-09-2025
MP048,Ningshingkhul Biodiversity Park,Jiribam,Natural,Biodiversity park in Jiribam known for its rich flora and fauna. It serves as a conservation area for native plant species.,24.8,93.1167,"Jiribam, Manipur",30,08:00 Ayuk,05:00 Nungthil,Winter,2,Low,Yes,Low,Average,Yes,Yes,No,https://manipurtourism.gov.in,https://example.com/ningshingkhul.jpg,Open,30-11-2023,15-10-2025
MP049,Nupi Lal Memorial Complex,Imphal West,Memorial,"Memorial commemorating the Nupi Lal (Women's War) of 1939, where Manipuri women protested against British policies. An important historical monument.",24.8,93.9333,"Imphal West, Manipur",0,09:00 Ayuk,05:00 Nungthil,Winter,1,Medium,Yes,Low,Good,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/nupilal.jpg,Open,05-05-2024,22-07-2025
MP050,Phangrei Picnic Spot,Ukhrul,Park,Popular picnic spot with scenic views and recreational facilities. The area is well-shaded and perfect for family outings.,25.12,94.45,"Ukhrul, Manipur",20,08:00 Ayuk,05:00 Nungthil,Summer,2,Low,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/phangreipicnic.jpg,Open,18-08-2023,15-11-2025
MP051,Ngaloi Waterfall,Churachandpur,Waterfall,Scenic waterfall in Churachandpur popular among nature lovers. The waterfall is surrounded by dense forests.,24.3333,93.6833,"Churachandpur, Manipur",20,08:00 Ayuk,05:00 Nungthil,Monsoon,1,Low,Yes,Medium,Limited,No,No,No,https://manipurtourism.gov.in,https://example.com/ngaloi.jpg,Open,08-07-2024,28-12-2025
MP052,Silheipung Garden,"Lamlai, Imphal East",Park,Garden in Lamlai offering scenic views and recreational facilities. Known for its well-maintained lawns.,24.8667,94.0667,"Lamlai, Imphal East, Manipur",30,08:00 Ayuk,05:00 Nungthil,Winter,1,Low,Yes,Low,Good,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/silheipung.jpg,Open,15-09-2023,05-09-2025
MP053,Yangkhullen Village,Senapati,Cultural,Old village built on a steep hill. A unique historical site for travellers interested in traditional architecture and tribal history.,25.2667,94.0167,"Senapati, Manipur",0,08:00 Ayuk,05:00 Nungthil,Winter,1,Low,Yes,Medium,Limited,No,No,No,https://manipurtourism.gov.in,https://example.com/yangkhullen.jpg,Open,02-03-2024,18-08-2025
MP054,Makhel Village,Senapati,Cultural,Traditional village in Senapati known for its cultural heritage and the presence of ancient megalithic stones.,25.2667,94.0167,"Senapati, Manipur",0,08:00 Ayuk,05:00 Nungthil,Winter,1,Low,Yes,Low,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/makhel.jpg,Open,20-12-2023,02-10-2025
MP055,Willong Village,Senapati,Cultural,Traditional village known for its unique cultural practices and the famous Makhel stone monoliths.,25.2667,94.0167,"Senapati, Manipur",0,08:00 Ayuk,05:00 Nungthil,Winter,1,Low,Yes,Low,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/willong.jpg,Open,15-01-2024,28-09-2025
MP056,Buning Meadow,Tamenglong,Valley,Scenic meadow in Tamenglong popular for picnics and nature walks. The grassland is surrounded by dense woods.,24.9833,93.5,"Tamenglong, Manipur",0,08:00 Ayuk,05:00 Nungthil,Winter,2,Low,Yes,Low,Limited,No,No,No,https://manipurtourism.gov.in,https://example.com/buning.jpg,Open,25-10-2023,20-11-2025
MP057,Thoubal,Thoubal,Cultural,District known for its cultural heritage and scenic landscapes. The region is famous for the Khongjom War Memorial.,24.6333,94.0167,"Thoubal, Manipur",0,Open All Day,Open All Day,Winter,1,Low,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/thoubal.jpg,Open,12-04-2024,10-10-2025
MP058,Chandel,Chandel,Hill,District known for its tribal culture and natural beauty. The terrain is hilly and covered with thick forests.,24.3333,94,"Chandel, Manipur",0,Open All Day,Open All Day,Winter,1,Low,Yes,Medium,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/chandel.jpg,Open,08-11-2023,05-12-2025
MP059,Jiribam,Jiribam,Cultural,"District bordering Cachar District of Assam. Known for its railhead and scenic beauty, it acts as a gateway to Manipur.",24.8,93.1167,"Jiribam, Manipur",0,Open All Day,Open All Day,Winter,1,Low,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/jiribam.jpg,Open,25-06-2024,12-08-2025
MP060,Marjing Temple,Imphal East,Religious,"Ancient temple dedicated to the Manipuri god Marjing. Located on a hilltop, it offers a panoramic view of the Imphal valley.",24.85,93.96,"Imphal East, Manipur",0,06:00 Ayuk,07:00 Nungthil,All Season,1,Medium,Yes,Low,Good,Yes,No,No,https://manipurtourism.gov.in,https://example.com/marjing.jpg,Open,01-08-2023,17-07-2025
MP061,Kaina Hilltop Temple,Imphal East,Religious,Temple located on Kaina Hill. Legend says it was visited by Shri Gouranga. Offers a spiritual retreat with scenic views.,24.87,93.97,"Imphal East, Manipur",0,06:00 Ayuk,06:00 Nungthil,All Season,1,Low,Yes,Low,Average,Yes,No,No,https://manipurtourism.gov.in,https://example.com/kaina.jpg,Open,14-02-2024,08-09-2025
MP062,Ebudhou Thangjing Temple,Moirang,Religious,"Important pre-Hindu deity temple dedicated to Thangjing, the protector god of Moirang. Rich in cultural traditions.",24.5,93.7667,"Moirang, Bishnupur, Manipur",0,06:00 Ayuk,07:00 Nungthil,All Season,1,Medium,Yes,Low,Good,Yes,No,No,https://manipurtourism.gov.in,https://example.com/thangjing.jpg,Open,02-10-2023,02-11-2025
MP063,Ningthoukhong Lake,Bishnupur,Lake,A picturesque lake near Ningthoukhong village. It supports local fishing and is a habitat for migratory birds.,24.58,93.78,"Ningthoukhong, Bishnupur, Manipur",0,Open All Day,Open All Day,Winter,2,Low,Yes,Low,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/ningthoukhong.jpg,Open,20-03-2024,22-10-2025
MP064,Pumlen Pat,Thoubal,Lake,"One of the largest lakes in Manipur, known for its natural beauty and rich aquatic biodiversity.",24.45,94.05,"Thoubal, Manipur",0,Open All Day,Open All Day,Winter,2,Low,Yes,Low,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/pumlen.jpg,Open,05-12-2023,18-09-2025
MP065,Ikop Pat,Thoubal,Lake,Beautiful lake surrounded by hills and agricultural fields. It provides irrigation to the surrounding farmlands.,24.47,94.03,"Thoubal, Manipur",0,Open All Day,Open All Day,Winter,1,Low,Yes,Low,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/ikop.jpg,Open,30-05-2024,28-08-2025
MP066,Lousi Pat,Imphal East,Lake,A scenic lake located near the foothills. It is less crowded and perfect for a quiet day out.,24.88,94.02,"Imphal East, Manipur",0,Open All Day,Open All Day,Winter,1,Low,Yes,Low,Average,No,No,No,https://manipurtourism.gov.in,https://example.com/lousi.jpg,Open,18-07-2023,11-11-2025
MP067,Shuganu Waterfall,Ukhrul,Waterfall,A hidden waterfall deep within the Ukhrul forests. The trek to the waterfall is rewarding with pristine waters.,25.15,94.42,"Ukhrul, Manipur",0,08:00 Ayuk,05:00 Nungthil,Monsoon,3,Low,No,High,Limited,No,No,No,https://manipurtourism.gov.in,https://example.com/shuganu.jpg,Seasonal,10-06-2024,18-12-2025
