Weather_ID,Place_ID,Year,Month_Number,Month_Name,Season,Average_Temperature_C,Minimum_Temperature_C,Maximum_Temperature_C,Humidity_Percentage,Rainfall_mm,Wind_Speed_kmph,Weather_Condition,Air_Quality_Index,UV_Index,Visibility_KM,Sunrise_Time,Sunset_Time,Tourism_Suitability,Weather_Warning,Created_Date,Updated_Date
WT000750,MP063,2023,6,June,Summer,27.4,19.4,33.2,87,126.5,9.1,Foggy,113,4,2.2,05:25 Ayuk,07:14 Nungthil,Moderate,No,01-07-2025,15-02-2025
WT000064,MP006,2025,4,April,Spring,22.9,14.9,30,64,73.7,4.3,Partly Cloudy,87,8,3.9,06:37 Ayuk,05:57 Nungthil,Good,No,21-11-2025,16-03-2026
WT000276,MP023,2024,12,December,Winter,14.6,7.6,20.3,76,28.6,6.6,Cloudy,106,4,10.5,06:45 Ayuk,05:53 Nungthil,Excellent,No,22-03-2025,18-09-2026
WT000654,MP055,2023,6,June,Summer,26.9,19.4,34.4,84,187.7,6.2,Clear,90,4,2.2,06:39 Ayuk,05:28 Nungthil,Moderate,Heavy Rain Alert,02-11-2023,15-08-2025
WT000096,MP008,2024,12,December,Winter,13.1,8.4,20.4,68,0,6.6,Heavy Rain,126,9,2.7,05:00 Ayuk,05:27 Nungthil,Excellent,No,03-03-2025,25-08-2026
WT000406,MP034,2023,10,October,Autumn,20.8,13.3,29,71,76.6,6.5,Partly Cloudy,84,9,7.7,04:28 Ayuk,07:02 Nungthil,Good,No,20-09-2023,17-12-2026
WT000152,MP013,2025,8,August,Monsoon,26.1,16.3,31.5,79,181.9,9.2,Sunny,110,7,9.2,04:22 Ayuk,06:07 Nungthil,Poor,No,02-06-2025,03-12-2026
WT000739,MP062,2024,7,July,Monsoon,26.3,16,32.5,93,197.7,8.6,Windy,55,7,10.9,05:05 Ayuk,07:32 Nungthil,Poor,Heavy Rain Alert,13-06-2025,20-11-2026
WT000763,MP064,2023,7,July,Monsoon,25.8,17.9,32.2,87,212.6,6,Clear,87,3,5.3,05:51 Ayuk,06:21 Nungthil,Poor,Flood Warning,25-11-2023,09-06-2025
WT000574,MP048,2024,10,October,Autumn,21,13.1,27.3,66,49.3,6.7,Sunny,110,4,8.7,05:11 Ayuk,07:05 Nungthil,Good,No,09-08-2024,20-09-2025
WT000414,MP035,2023,6,June,Summer,26.2,19.4,33,77,120.7,9.8,Foggy,69,10,10,05:00 Ayuk,06:15 Nungthil,Moderate,No,19-07-2023,25-02-2025
WT000193,MP017,2023,1,January,Winter,14.6,7.6,21.2,65,5.8,6.7,Windy,138,9,2,04:08 Ayuk,05:46 Nungthil,Excellent,No,02-08-2025,14-07-2026
WT000253,MP022,2023,1,January,Winter,13.7,9.3,22.7,63,24.2,5.1,Cloudy,133,3,5.4,06:56 Ayuk,05:22 Nungthil,Excellent,No,17-08-2023,22-12-2026
WT000665,MP056,2023,5,May,Summer,25.4,16.9,32.2,74,82.3,6.2,Sunny,79,3,3.5,06:51 Ayuk,06:20 Nungthil,Moderate,No,10-04-2024,19-04-2026
WT000127,MP011,2023,7,July,Monsoon,26.7,16.6,30.9,82,229.8,6.4,Partly Cloudy,118,3,11.8,04:31 Ayuk,06:44 Nungthil,Poor,Flood Warning,10-02-2024,09-03-2026
WT000028,MP003,2023,4,April,Spring,23.7,13.2,31.4,71,79.1,5.3,Clear,114,8,2.3,05:21 Ayuk,07:17 Nungthil,Good,No,09-04-2025,06-11-2026
WT000801,MP067,2023,9,September,Monsoon,25.1,13.7,30,87,106.3,8.1,Rainy,102,9,6.7,04:38 Ayuk,07:38 Nungthil,Poor,No,08-03-2024,21-11-2026
WT000306,MP026,2023,6,June,Summer,28.4,17.7,34.1,82,151.3,9.8,Foggy,141,8,8.7,06:17 Ayuk,06:53 Nungthil,Moderate,No,19-09-2023,17-12-2025
WT000677,MP057,2024,5,May,Summer,26.7,16,31.9,79,37.6,6,Sunny,69,7,4.7,06:05 Ayuk,05:32 Nungthil,Moderate,No,08-09-2024,19-07-2025
WT000119,MP010,2024,11,November,Autumn,16.6,11.3,25,69,39.4,3.4,Partly Cloudy,57,7,8.5,06:03 Ayuk,05:23 Nungthil,Good,No,25-05-2025,09-10-2025
WT000020,MP002,2023,8,August,monson,25.5,15.3,31.9,92,249,7.2,Sunny,70,6,9.8,05:48 Ayuk,07:38 Nungthil,Poor,Flood Warning,07-02-2024,21-05-2025
WT000113,MP010,2023,5,May,Summer,25.3,16.3,32.8,65,90.3,8.2,Windy,107,6,7.6,04:47 Ayuk,07:38 Nungthil,Moderate,No,19-12-2025,10-09-2026
WT000633,MP053,2025,9,September,Monsoon,24.3,13.6,30.2,80,102.4,5.3,Heavy Rain,60,6,2.6,05:37 Ayuk,05:50 Nungthil,Poor,No,09-04-2024,02-08-2025
WT000390,MP033,2023,6,June,Summer,26,17.5,33.8,70,-10,6.5,Heavy Rain,75,9,9,06:19 Ayuk,05:10 Nungthil,Moderate,Heavy Rain Alert,22-04-2024,13-08-2025
WT000496,MP042,2023,4,April,Spring,22.5,15.3,30.7,58,14.2,6.9,Foggy,148,7,10.9,05:40 Ayuk,05:26 Nungthil,Good,No,19-05-2024,03-05-2025
WT000325,MP028,2024,1,January,Winter,14.8,8.6,20.5,66,45.5,8,Clear,86,6,11.1,06:35 Ayuk,07:17 Nungthil,Excellent,No,11-11-2025,11-03-2026
WT000789,MP066,2023,9,September,Monsoon,24.3,15.2,31.3,79,127.3,6.5,Sunny,148,7,8.4,06:14 Ayuk,05:06 Nungthil,Poor,No,09-07-2024,16-09-2026
WT000669,MP056,2025,9,September,Monsoon,25.7,14.5,28.9,86,149.5,6.3,Heavy Rain,142,6,10.5,04:58 Ayuk,06:14 Nungthil,Poor,No,24-12-2023,20-01-2026
WT000346,MP029,2023,10,October,Autumn,20.6,12.2,27.9,77,24.4,5,Partly Cloudy,146,9,9.6,06:58 Ayuk,06:51 Nungthil,Good,No,21-11-2023,17-06-2025
WT000387,MP033,2023,3,March,Spring,20.5,11.8,28.7,66,15.2,5.7,Foggy,61,7,6.8,05:40 Ayuk,05:31 Nungthil,Good,No,19-02-2024,13-04-2025
WT000147,MP013,2023,3,March,Spring,18.7,12,28.5,53,54.7,6.3,Sunny,101,8,3.7,04:59 Ayuk,07:47 Nungthil,Good,No,20-07-2024,22-01-2026
WT000488,MP041,2024,8,August,Monsoon,25,17.2,31.5,86,175.4,7.5,Heavy Rain,113,8,6.7,06:04 Ayuk,07:10 Nungthil,Poor,Flood Warning,07-10-2023,03-04-2025
WT000685,MP058,2023,1,January,Winter,13.6,8.7,22.1,73,31.1,6,Clear,101,4,2.4,06:36 Ayuk,06:15 Nungthil,Excellent,No,09-12-2023,10-02-2025
WT000224,MP019,2024,8,August,Monsoon,27.1,17.2,32,92,172,7.6,Foggy,135,7,5.6,04:46 Ayuk,06:02 Nungthil,Poor,Flood Warning,07-11-2023,15-10-2026
WT000418,MP035,2023,10,October,Autumn,20.8,13.4,29.5,73,46.3,4.5,Clear,147,5,8.8,04:23 Ayuk,06:14 Nungthil,Good,No,19-07-2023,14-03-2025
WT000280,MP024,2023,4,April,Spring,21.8,13.2,29.8,71,73.4,7.7,Cloudy,117,6,4.3,04:31 Ayuk,07:30 Nungthil,Good,No,19-02-2025,02-09-2025
WT000195,MP017,2025,3,March,Spring,19.5,10.4,29,57,27,7.3,Partly Cloudy,123,3,7.6,06:30 Ayuk,05:02 Nungthil,Good,No,21-08-2023,23-03-2025
WT000141,MP012,2025,9,September,Monsoon,25.4,14.3,28.5,86,128.6,5.9,Clear,129,5,8.4,06:44 Ayuk,06:17 Nungthil,Poor,No,15-02-2024,08-12-2026
WT000293,MP025,2024,5,May,Summer,26.5,17,32.6,65,99.6,8.8,Clear,137,7,11.5,06:53 Ayuk,06:09 Nungthil,Moderate,No,09-05-2024,01-08-2025
WT000203,MP017,2023,11,November,Autumn,18.4,10.7,25.4,56,23.6,4.6,Clear,84,9,3.5,04:48 Ayuk,06:23 Nungthil,Good,No,25-05-2025,06-01-2026
WT000182,MP016,2024,2,February,Winter,16.4,9.5,25.5,70,9.7,8,Foggy,55,5,2.3,04:04 Ayuk,06:00 Nungthil,Excellent,No,24-03-2025,20-08-2026
WT000365,MP031,2025,5,May,Summer,26.1,16,31.6,67,79.7,6.2,,118,3,2.7,04:08 Ayuk,07:55 Nungthil,Moderate,,15-10-2025,12-01-2026
WT000733,MP062,2025,1,January,Winter,15,7.2,23,59,57.1,5.4,Clear,81,4,8.7,05:14 Ayuk,06:33 Nungthil,Excellent,No,14-05-2023,21-09-2025
WT000583,MP049,2025,7,July,Monsoon,26.1,16.2,31.7,82,219.9,6.4,Clear,65,8,6.1,05:41 Ayuk,06:36 Nungthil,Poor,Flood Warning,10-05-2025,05-11-2025
WT000272,MP023,2024,8,August,Monsoon,24.9,17.9,29.8,82,238.8,9.6,Cloudy,86,6,10.5,05:05 Ayuk,07:37 Nungthil,Poor,Flood Warning,24-05-2023,07-02-2025
WT000202,MP017,2024,10,October,Autumn,23,13.1,28.7,76,49.7,4.8,Foggy,150,7,4,06:30 Ayuk,05:14 Nungthil,Good,No,11-01-2025,09-06-2026
WT000088,MP008,2023,4,April,Spring,24,13.2,31.7,53,45.4,4.6,Partly Cloudy,99,9,9.5,05:37 Ayuk,05:32 Nungthil,Good,No,25-02-2025,05-11-2026
WT000053,MP005,2024,5,May,Summer,27.3,16.4,33.1,63,90.3,8.5,Foggy,87,10,3.8,05:09 Ayuk,05:09 Nungthil,Moderate,No,05-02-2023,09-01-2025
WT000327,MP028,2024,3,March,Spring,20.6,10.2,27.7,54,22.6,6.4,Foggy,58,8,10.6,06:22 Ayuk,05:21 Nungthil,Good,No,19-02-2024,15-07-2026
WT000631,MP053,2023,7,July,Monsoon,27.1,16.4,32.6,90,235.7,9.7,Windy,70,3,8.7,06:21 Ayuk,07:44 Nungthil,Poor,Flood Warning,04-07-2024,23-08-2026
WT000011,MP001,2023,11,November,Autumn,18.9,10.7,23.6,68,45.1,3.9,Sunny,88,9,4.6,06:12 Ayuk,07:39 Nungthil,Good,No,10-11-2025,13-06-2025
WT000727,MP061,2023,7,July,Monsoon,27.4,15.7,31.9,83,223.9,6.8,Rainy,73,7,7.8,04:37 Ayuk,06:41 Nungthil,Poor,Flood Warning,25-11-2023,22-04-2026
WT000416,MP035,2024,8,August,Monsoon,26.6,16.9,31.8,92,188.9,8.6,Sunny,55,10,10.3,05:46 Ayuk,06:06 Nungthil,Poor,Heavy Rain Alert,20-01-2025,01-08-2026
WT000270,MP023,2025,6,June,Summer,27.1,18.5,34.6,74,600,7.7,Rainy,132,9,7.3,06:13 Ayuk,06:33 Nungthil,Moderate,No,11-12-2025,02-04-2025
WT000802,MP067,2023,10,October,Autumn,22.8,12.5,28.4,75,73.5,4.9,Partly Cloudy,130,5,10,04:28 Ayuk,06:24 Nungthil,Good,No,22-03-2023,02-12-2025
WT000657,MP055,2025,9,September,Monsoon,25.3,16.2,30.4,76,138.8,6.2,Clear,67,3,5.3,04:49 Ayuk,07:42 Nungthil,Poor,No,11-10-2024,11-04-2025
WT000090,MP008,2023,6,June,Summer,27.3,19.2,32.8,74,195.9,8.1,Sunny,77,9,6.5,05:09 Ayuk,05:24 Nungthil,Moderate,Heavy Rain Alert,14-03-2023,09-01-2025
WT000773,MP065,2024,5,May,Summer,24.6,15.8,32.2,74,102.4,7.2,Clear,139,8,10.3,06:21 Ayuk,07:42 Nungthil,Moderate,No,14-05-2025,22-10-2026
WT000544,MP046,2023,4,April,Spring,22.5,15.3,31.3,54,34.6,6.1,Heavy Rain,99,9,6.4,06:00 Ayuk,05:32 Nungthil,Good,No,04-05-2025,09-05-2025
WT000617,MP052,2025,5,May,Summer,24.8,17,33.7,76,93.2,6.1,Partly Cloudy,68,10,2.9,04:33 Ayuk,07:04 Nungthil,Moderate,No,15-07-2024,17-12-2026
WT000212,MP018,2023,8,August,Monsoon,27,15.5,30.2,84,172.2,8.9,Sunny,111,7,8,05:38 Ayuk,06:05 Nungthil,Poor,Flood Warning,14-08-2025,12-10-2025
WT000391,MP033,2023,7,July,Monsoon,25.8,18.4,32.4,81,226.4,6.5,Sunny,94,5,3.4,05:25 Ayuk,06:11 Nungthil,Poor,Flood Warning,09-07-2023,08-11-2026
WT000724,MP061,2025,4,April,Spring,24,14.5,32.1,55,64,4.7,Heavy Rain,88,4,10.3,05:07 Ayuk,06:59 Nungthil,Good,No,04-12-2025,21-11-2026
WT000181,MP016,2024,1,January,Winter,15.9,7.3,22.4,58,61.7,7.3,Heavy Rain,143,3,6.8,04:35 Ayuk,06:39 Nungthil,Excellent,No,24-02-2024,05-03-2026
WT000144,MP012,2025,12,December,Winter,14.1,7,21.9,76,0,3.2,Clear,70,10,8.8,05:48 Ayuk,06:22 Nungthil,Excellent,No,07-09-2023,22-08-2025
WT000578,MP049,2025,2,February,Winter,14.7,9.3,25.1,73,0,4.4,Rainy,107,7,11.8,04:20 Ayuk,06:28 Nungthil,Excellent,No,10-10-2025,13-10-2025
WT000017,MP002,2025,5,May,Summer,25.1,16.4,33.2,61,106.9,7.2,Cloudy,81,6,4.9,04:28 Ayuk,07:35 Nungthil,Moderate,No,19-01-2024,01-10-2025
WT000641,MP054,2023,5,May,Summer,27,17.4,34,68,70,7.3,Heavy Rain,119,5,5.1,05:18 Ayuk,05:10 Nungthil,Moderate,No,13-08-2025,04-03-2026
WT000441,MP037,2025,9,September,Monsoon,23.6,14.8,29.9,80,119,8,Heavy Rain,66,5,9.3,05:55 Ayuk,06:27 Nungthil,Poor,No,01-11-2024,11-12-2026
WT000436,MP037,2023,4,April,Spring,24.3,15.2,30.8,66,13.2,5.5,Partly Cloudy,123,3,8.9,06:44 Ayuk,06:48 Nungthil,Good,No,21-04-2025,18-06-2025
WT000167,MP014,2024,11,November,Autumn,16.8,10.9,25.5,73,5.8,3.6,Heavy Rain,137,6,8,06:37 Ayuk,07:03 Nungthil,Good,No,14-07-2023,23-10-2026
WT000545,MP046,2024,5,May,Summer,25.5,16.1,32.9,63,46.3,7.4,Cloudy,87,4,3.9,06:50 Ayuk,05:19 Nungthil,Moderate,No,20-12-2025,13-01-2025
WT000209,MP018,2025,5,May,Summer,25.9,15,32.9,61,109.4,8.8,Windy,95,4,3.8,05:40 Ayuk,05:51 Nungthil,Moderate,No,12-09-2023,14-10-2026
WT000133,MP012,2023,1,January,Winter,16.1,8.5,21.1,76,30.8,8.3,Heavy Rain,72,9,9.6,04:03 Ayuk,05:16 Nungthil,Excellent,No,04-06-2024,14-05-2025
WT000362,MP031,2023,2,February,Winter,15.4,9.6,23.6,59,0,7.1,Windy,77,7,3.1,05:53 Ayuk,05:58 Nungthil,Excellent,No,24-03-2023,19-08-2025
WT000432,MP036,2023,12,December,Winter,14.8,7.6,21.7,68,0,3.7,Sunny,132,10,10,04:45 Ayuk,06:15 Nungthil,Excellent,No,13-12-2023,01-08-2025
WT000319,MP027,2025,7,July,Monsoon,25.9,17.5,30.9,89,251,9.1,Partly Cloudy,56,8,8.5,06:57 Ayuk,06:13 Nungthil,Poor,Flood Warning,10-05-2024,12-12-2025
WT000464,MP039,2025,8,August,Monsoon,27.5,17.3,30.5,92,202.2,7.3,Cloudy,71,10,6.9,05:56 Ayuk,07:00 Nungthil,Poor,Flood Warning,07-07-2025,13-09-2025
WT000338,MP029,2023,2,February,Winter,15.3,9.4,24.7,73,34.4,6.9,Windy,94,7,7.9,04:08 Ayuk,06:38 Nungthil,Excellent,No,23-06-2025,06-12-2026
WT000077,MP007,2024,5,May,Summer,25.8,16.8,33.8,64,89.4,8.1,Partly Cloudy,53,5,7.9,05:37 Ayuk,06:15 Nungthil,Moderate,No,18-01-2025,17-08-2025
WT000159,MP014,2024,3,March,Spring,21.2,9.6,28,67,25.1,5.7,Clear,81,8,3.5,05:37 Ayuk,05:26 Nungthil,Good,No,19-03-2025,14-08-2025
WT000590,MP050,2024,2,February,Winter,16.3,8.5,24.5,60,37.6,5.5,Sunny,89,7,6.8,05:15 Ayuk,05:24 Nungthil,Excellent,No,20-04-2024,05-12-2025
WT000333,MP028,2025,9,September,Monsoon,24.4,15.2,30.9,71,165.9,5.9,Foggy,81,6,2.3,04:07 Ayuk,06:54 Nungthil,Poor,No,08-03-2023,09-10-2026
WT000035,MP003,2023,11,November ,Autumn,18.8,9.8,23.9,62,56.9,4.5,Heavy Rain ,86,8,2.6,04:14 Ayuk,05:53 Nungthil,Good,No,14-05-2023,08-10-2026
WT000646,MP054,2025,10,October,Autumn,20.6,12.1,28.1,63,9,4.3,Heavy Rain,69,6,5.4,06:50 Ayuk,05:16 Nungthil,Good,No,15-12-2024,25-11-2026
WT000180,MP015,2023,12,December,Winter,13,6,21.8,78,38.8,3.2,Windy,120,6,6.3,06:50 Ayuk,06:25 Nungthil,Excellent,No,15-02-2023,04-09-2025
WT000687,MP058,2025,3,March,Spring,20.8,11.8,27.4,64,12.1,6.6,Cloudy,141,5,11.6,05:03 Ayuk,05:31 Nungthil,Good,No,07-05-2024,04-07-2025
WT000504,MP042,2025,12,December,Winter,13.9,7.1,20.9,71,40.9,3.9,Windy,134,10,3.8,05:33 Ayuk,05:54 Nungthil,Excellent,No,11-06-2024,18-01-2026
WT000684,MP057,2023,12,December,Winter,12.6,8,21.5,60,42.1,5.2,Partly Cloudy,105,7,3.4,05:03 Ayuk,07:02 Nungthil,Excellent,No,15-11-2024,24-02-2026
WT000109,MP010,2024,1,January,Winter,14.8,7.2,22.8,69,0,8.6,Cloudy,142,10,6.6,05:55 Ayuk,05:39 Nungthil,Excellent,No,04-09-2023,02-08-2026
WT000695,MP058,2023,11,November,Autumn,18.3,10,24.8,58,36.1,2.2,Foggy,137,5,5.7,04:05 Ayuk,05:38 Nungthil,Good,No,02-07-2024,09-05-2026
WT000106,MP009,2024,10,October,Autumn,22.6,12.5,28.1,74,12.6,4.4,Clear,95,9,3.6,04:29 Ayuk,07:02 Nungthil,Good,No,19-07-2024,03-08-2025
WT000318,MP027,2023,6,June,Summer,26.4,16.8,34.4,83,165,8.4,Cloudy,122,4,2.8,06:18 Ayuk,06:18 Nungthil,Moderate,Flood Warning,13-07-2025,19-07-2026
WT000587,MP049,2025,11,November,Autumn,17.8,8.8,24.8,57,3.3,6,Rainy,77,9,2.6,06:23 Ayuk,06:53 Nungthil,Good,No,15-07-2025,14-12-2026
WT000622,MP052,2024,10,October,Autumn,22.7,13.2,29,79,17.6,5.9,Sunny,93,3,2.6,04:56 Ayuk,07:28 Nungthil,Good,No,24-01-2023,24-11-2025
WT000595,MP050,2023,7,July,Monsoon,27.5,16.8,31.5,92,242.3,7.4,Cloudy,127,5,9.4,05:49 Ayuk,05:56 Nungthil,Poor,Flood Warning,07-07-2023,04-04-2025
WT000744,MP062,2023,12,December,Winter,13.7,6.6,20,62,23.6,5.1,Clear,74,8,8,06:37 Ayuk,07:15 Nungthil,Excellent,No,05-10-2025,02-05-2026
WT000092,MP008,2025,8,August,Monsoon,24.5,16.6,30.8,82,171.5,6.8,Foggy,70,6,6.5,04:55 Ayuk,06:39 Nungthil,Poor,Heavy Rain Alert,22-04-2023,22-10-2026
WT000405,MP034,2023,9,September,Monsoon,23.8,14.8,28.8,72,156.8,5.1,Heavy Rain,52,5,11.9,04:26 Ayuk,06:45 Nungthil,Poor,No,18-08-2023,03-04-2025
WT000036,MP003,2025,12,December,Winter,15.1,6.8,22.3,67,4.5,5.5,Rainy,73,8,10.8,05:56 Ayuk,05:07 Nungthil,Excellent,No,16-08-2023,04-10-2026
WT000439,MP037,2024,7,July,Monsoon,27.8,17.9,32.3,84,193.8,6.2,Cloudy,78,3,6.1,05:35 Ayuk,07:15 Nungthil,Poor,Heavy Rain Alert,20-07-2025,23-05-2026
