Record_ID,Place_ID,Year,Month_Number,Month_Name,Season,Domestic_Visitors,Foreign_Visitors,Total_Visitors,Male_Visitors,Female_Visitors,Children_Visitors,Senior_Citizen_Visitors,Student_Visitors,Group_Visitors,Solo_Visitors,Average_Visit_Duration_Hours,Average_Spending_INR,Weather_Condition,Special_Event,Festival_Season,Visitor_Satisfaction,Revenue_INR,Growth_Percentage,Remarks,Created_Date,Updated_Date
VS000029,MP003,2024,5,May,Summer,19178,1349,20527,10171,10356,1518,1851,2571,5637,14890,2.5,911.77,Cloudy,Yes,No,4.4,18715902.79,20.2,Festival Crowd,15-04-2024,16-09-2025
VS000030,MP003,2025,6,June,Summer,14618,847,15465,7069,8396,1065,891,1301,5610,9855,3.8,1316.93,Windy,Yes,No,4.2,20366322.45,-17.9,Weekend Rush,11-10-2025,17-10-2025
VS000031,MP003,2023,7,July,Monsoon,14666,1860,16526,7942,8584,1422,1527,1687,4141,12385,3.3,849.94,Windy,Yes,No,3.9,14046108.44,12.6,Rain Affected,07-10-2023,06-06-2025
VS000032,MP003,2025,8,August,Monsoon,11850,1125,12975,6720,6255,1419,743,1495,4256,8719,5.1,1113.78,Foggy,Yes,No,4.7,14451295.5,22.1,Monsoon Season,16-08-2024,23-11-2025
VS000033,MP003,2025,9,September,Monsoon,13116,1194,14310,7062,7248,889,965,1837,4861,9449,2.6,818.48,Rainy,Yes,No,4.5,11712448.8,14.7,Holiday Rush,14-01-2025,06-03-2025
VS000034,MP003,2025,10,October,Autumn,25097,2615,27712,14860,12852,2726,1826,2395,10259,17453,4.3,1120.49,Windy,Yes,No,4.7,31051018.88,-3.5,Rain Affected,20-09-2025,07-01-2025
VS000035,MP003,2025,11,November,Autumn,24409,529,24938,11271,13667,2802,2488,2554,8752,16186,2.6,826.28,Clear,No,Yes,4.6,20605770.64,11.7,Peak Season,23-12-2023,17-11-2025
VS000036,MP003,2023,12,December,Winter,31739,3424,35163,19249,15914,3280,3365,3670,9586,25577,3.1,1618.98,Clear,Yes,No,4.7,56928193.74,15.3,Peak Season,11-08-2025,19-02-2025
VS000037,MP004,2023,1,January,Winter,38380,5016,43396,21215,22181,2659,3885,4670,12246,31150,2,1368.97,Foggy,No,No,4.5,59407822.12,32.8,New Year Rush,07-09-2024,06-02-2025
VS000038,MP004,2025,2,February,Winter,27411,3282,30693,15741,14952,2462,2414,4573,11075,19618,2.5,1116.77,Sunny,Yes,No,4.7,34277021.61,-15.2,Peak Season,16-01-2023,06-08-2025
VS000039,MP004,2023,3,March,Spring,24286,3117,27403,14933,12470,2609,1435,2260,8726,18677,3.2,1123.66,Windy,No,Yes,4,30791654.98,-6.6,Off Season,16-04-2025,05-05-2025
VS000040,MP004,2023,4,April,Spring,24357,784,25141,13801,11340,2044,2495,2888,6715,18426,3.9,1330.17,Foggy,No,No,4.4,33441803.97,3.9,Normal Traffic,22-06-2025,05-09-2025
VS000041,MP004,2023,5,May,Summer,18916,2522,21438,10136,11302,1745,1178,2807,7524,13914,5.4,1335.37,Clear,Yes,No,4.8,28627662.06,17.8,Weekend Rush,14-03-2023,19-03-2025
VS000042,MP004,2025,6,June,Summer,12425,259,12684,6432,6252,670,1214,1660,4110,8574,2.4,824.8,Cloudy,No,No,4.5,10461763.2,31.1,Holiday Rush,12-05-2025,13-04-2025
VS000043,MP004,2025,7,July,Monsoon,12397,483,12880,5841,7039,1063,575,1387,3579,9301,4,1731.22,Rainy,Yes,No,4.1,22298113.6,31.4,Monsoon Season,11-04-2023,14-12-2025
VS000044,MP004,2023,8,August,Monsoon,14927,481,15408,7081,8327,1530,1274,1522,5075,10333,5.1,908.52,Windy,No,No,4.8,13998476.16,-17.3,Heavy Rain,06-10-2025,04-09-2025
VS000045,MP004,2024,9,September,Monsoon,12356,887,13243,6118,7125,823,1126,1801,4459,8784,5.8,1190.8,Rainy,No,No,4.2,15769764.4,-19.1,Rain Affected,01-01-2025,13-06-2025
VS000046,MP004,2023,10,October,Autumn,26694,1720,28414,14330,14084,2610,2405,4262,8746,19668,2.4,1591.82,Cloudy,No,No,4.7,45229973.48,5.8,Weekend Rush,03-03-2025,25-05-2025
VS000047,MP004,2023,11,November,Autumn,29240,3071,32311,15835,16476,2029,3107,3668,12024,20287,1.8,1144.27,Sunny,No,No,4.2,36972507.97,-14.5,Off Season,21-05-2023,07-04-2025
VS000048,MP004,2024,12,December,Winter,42069,1470,43539,20659,22880,3987,2347,5155,12576,30963,4.4,1582.81,Cloudy,Yes,No,4,68913964.59,23.8,New Year Rush,02-04-2025,08-01-2025
VS000049,MP005,2024,1,January,Winter,39129,5133,44262,24162,20100,3162,4039,4111,13467,30795,2.1,1734.98,Rainy,No,No,4.6,76793684.76,8.6,Winter Vacation,07-01-2024,03-02-2025
VS000050,MP005,2023,2,February,Winter,30054,2388,32442,15617,16825,1771,1630,3928,11987,20455,3.9,1033.79,Cloudy,No,No,4.2,33538215.18,19.4,Festival Crowd,06-05-2024,13-03-2025
VS000051,MP005,2024,3,March,Spring,25224,3424,28648,13686,14962,3091,1181,3685,8010,20638,2.2,1179.89,Windy,No,Yes,4.3,33801488.72,34.6,Peak Season,07-09-2025,08-09-2025
VS000052,MP005,2024,4,April,Spring,21294,841,22135,10121,12014,2388,2148,2400,7021,15114,2.8,926.22,Foggy,Yes,Yes,3.8,20501879.7,-13.2,Rain Affected,11-12-2025,14-02-2025
VS000053,MP005,2023,5,May,Summer,14692,2042,16734,9140,7594,1469,1622,1715,6454,10280,3,1248.55,Rainy,No,No,4.6,20893235.7,24.9,Rain Affected,09-08-2024,10-06-2025
VS000054,MP005,2024,6,June,Summer,16805,1570,18375,9912,8463,1680,1027,2739,5463,12912,5.3,824.28,Cloudy,No,No,4.2,15146145,13,Off Season,06-03-2024,08-02-2025
VS000055,MP005,2025,7,July,Monsoon,12724,1862,14586,7927,6659,1536,1168,1516,3828,10758,2.6,1032.4,Foggy,Yes,No,4.3,15058586.4,-3.7,Monsoon Season,03-07-2025,19-06-2025
VS000056,MP005,2024,8,August,Monsoon,10893,1308,12201,5593,6608,842,1169,1157,4571,7630,1.7,1305.2,Foggy,No,No,4.4,15924745.2,24.4,Rain Affected,21-10-2024,07-07-2025
VS000057,MP005,2023,9,September,Monsoon,16222,2160,18382,8895,9487,1329,1340,1664,5840,12542,4,1351,Sunny,Yes,No,3.8,24834082,-16.4,Rain Affected,22-04-2024,09-12-2025
VS000058,MP005,2025,10,October,Autumn,20409,2489,22898,10371,12527,1975,1319,2120,7313,15585,3.9,1762.69,Foggy,No,Yes,4.3,40362075.62,-19.4,Weekend Rush,04-07-2024,13-02-2025
VS000059,MP005,2024,11,November,Autumn,30786,1426,32212,17630,14582,3365,3021,2831,12162,20050,2.6,911.32,Cloudy,No,Yes,4.7,29355439.84,-19.1,Off Season,05-05-2024,19-09-2025
VS000060,MP005,2023,12,December,Winter,40167,1667,41834,19431,22403,3331,3841,5240,16508,25326,2.6,808.08,Rainy,No,No,4.6,33805218.72,10.9,Winter Vacation,03-04-2025,19-03-2025
VS000061,MP006,2025,1,January,Winter,28572,1742,30314,16298,14016,3621,1346,2651,9736,20578,1.7,1026.42,Foggy,Yes,No,4.8,31114895.88,16.8,Winter Vacation,09-11-2024,12-07-2025
VS000062,MP006,2023,2,February,Winter,33497,3550,37047,17653,19394,3023,2779,3269,10722,26325,5.5,1680.8,Cloudy,Yes,No,4.6,62268597.6,19.6,Weekend Rush,14-03-2024,17-01-2025
VS000063,MP006,2025,3,March,Spring,28498,2111,30609,16712,13897,2114,2443,4043,9947,20662,4.4,1464.71,Windy,No,No,4.9,44833308.39,27.7,Rain Affected,01-12-2023,17-09-2025
VS000064,MP006,2024,4,April,Spring,22739,2542,25281,12356,12925,1868,1725,2372,8304,16977,5.3,1508.79,Cloudy,Yes,No,4.3,38143719.99,-0.7,Holiday Rush,16-07-2024,07-01-2025
VS000065,MP006,2024,5,May,Summer,20440,1749,22189,12125,10064,1276,1863,2895,7512,14677,2.5,1754.58,Sunny,No,No,4.3,38932375.62,4.3,Rain Affected,14-12-2025,18-04-2025
VS000066,MP006,2023,6,June,Summer,12132,448,12580,6568,6012,1361,1012,1279,4617,7963,3,1274.38,Windy,No,No,4.6,16031700.4,25.5,Off Season,02-08-2023,24-09-2025
VS000067,MP006,2023,7,July,Monsoon,12770,527,13297,6056,7241,1578,586,1801,4067,9230,5.8,1645.38,Foggy,Yes,No,4.3,21878617.86,28.1,Rain Affected,08-09-2023,01-02-2025
VS000068,MP006,2023,8,August,Monsoon,10714,625,11339,5229,6110,636,851,1613,2888,8451,5,1017.3,Cloudy,Yes,No,3.8,11535164.7,-18.3,Rain Affected,06-01-2025,12-10-2025
VS000069,MP006,2023,9,September,Monsoon,14808,618,15426,6968,8458,879,676,2198,5824,9602,1.7,839.78,Cloudy,Yes,No,4.9,12954446.28,11.2,Festival Crowd,07-01-2024,09-03-2025
VS000070,MP006,2025,10,October,Autumn,29891,3978,33869,16816,17053,3494,1404,4139,9042,24827,5.3,1673.05,Sunny,Yes,No,4.6,56664530.45,-10.8,Rain Affected,02-11-2023,10-10-2025
VS000071,MP006,2025,11,November,Autumn,34506,1660,36166,18456,17710,3042,1495,4002,12605,23561,4.1,1386.68,Sunny,Yes,No,4,50150668.88,-2,Holiday Rush,21-01-2024,20-11-2025
VS000072,MP006,2023,12,December,Winter,31879,1412,33291,17763,15528,2591,3080,4981,9088,24203,2.5,1495.95,Sunny,No,No,4.7,49801671.45,15,Winter Vacation,24-05-2024,08-12-2025
VS000073,MP007,2024,1,January,Winter,32270,4580,36850,17584,19266,4078,3194,4627,10647,26203,1.7,1275.98,Foggy,No,No,4.6,47019863,1.9,Winter Vacation,23-10-2023,11-10-2025
VS000074,MP007,2023,2,February,Winter,26593,1254,27847,12830,15017,2130,2609,3006,7279,20568,4.9,833.04,Cloudy,Yes,No,4.4,23197664.88,28.8,Festival Crowd,20-08-2025,16-11-2025
VS000075,MP007,2023,3,March,Spring,23964,2295,26259,14038,12221,2955,1379,3795,9628,16631,4.4,1127.7,Rainy,No,Yes,4.5,29612274.3,3.4,Normal Traffic,08-01-2023,25-09-2025
VS000076,MP007,2023,4,April,Spring,27893,2805,30698,14671,16027,3543,2515,3087,8926,21772,1.7,1135.32,Foggy,No,No,4.4,34852053.36,24.6,Festival Crowd,17-04-2025,05-05-2025
VS000077,MP007,2024,5,May,Summer,20531,415,20946,9604,11342,2395,1124,2834,6003,14943,3,831.86,Cloudy,Yes,No,3.8,17424139.56,15.8,Peak Season,08-10-2024,08-05-2025
VS000078,MP007,2025,6,June,Summer,15046,505,15551,7444,8107,835,1479,2258,4013,11538,5.5,838.41,Sunny,No,No,4.1,13038113.91,-14.9,Normal Traffic,18-05-2023,21-11-2025
VS000079,MP007,2025,7,July,Monsoon,11384,1179,12563,6309,6254,773,599,1296,3876,8687,3,914.12,Rainy,No,No,4.2,11484089.56,25.5,Heavy Rain,21-08-2024,21-10-2025
VS000080,MP007,2024,8,August,Monsoon,11769,977,12746,6953,5793,1215,1120,1109,3895,8851,1.8,805.98,Rainy,No,No,4.2,10273021.08,-19.6,Heavy Rain,25-09-2025,05-07-2025
VS000081,MP007,2023,9,September,Monsoon,14604,457,15061,7709,7352,1160,860,1759,5805,9256,2.6,1341.3,Sunny,Yes,No,4,20201319.3,20.7,Holiday Rush,13-12-2024,14-10-2025
VS000082,MP007,2025,10,October,Autumn,23380,1339,24719,13126,11593,1430,2283,3383,8781,15938,2.7,1325.33,Sunny,Yes,Yes,4.3,32760832.27,14.8,Normal Traffic,04-11-2025,21-03-2025
VS000083,MP007,2025,11,November,Autumn,33970,3678,37648,18959,18689,3134,2053,4007,10437,27211,1.9,1246.14,Rainy,Yes,No,4.8,46914678.72,-8.6,Festival Crowd,18-06-2024,12-11-2025
VS000084,MP007,2025,12,December,Winter,36257,5101,41358,20673,20685,3039,2857,3630,11570,29788,4.7,969.15,Foggy,No,No,4.8,40082105.7,34.4,Winter Vacation,01-11-2023,22-11-2025
VS000085,MP008,2023,1,January,Winter,38068,5452,43520,20232,23288,4680,2965,5347,16666,26854,3.7,1444.2,Clear,Yes,No,4.6,62851584,6.4,New Year Rush,12-05-2025,08-03-2025
VS000086,MP008,2023,2,February,Winter,34666,4088,38754,18874,19880,1993,2648,4565,12527,26227,5.8,1091.7,Cloudy,No,No,4.7,42307741.8,24.6,Peak Season,14-03-2023,04-05-2025
VS000087,MP008,2023,3,March,Spring,32999,4760,37759,17484,20275,1911,1808,4958,12568,25191,3.5,1477.43,Foggy,No,No,4.1,55786279.37,-8.2,Rain Affected,05-02-2025,18-09-2025
VS000088,MP008,2024,4,April,Spring,22624,939,23563,12469,11094,1913,1119,2308,7709,15854,2,1216.28,Sunny,Yes,No,3.9,28659205.64,24.3,Holiday Rush,02-04-2023,10-12-2025
VS000089,MP008,2023,5,May,Summer,15012,2041,17053,8194,8859,1236,1571,1408,5031,12022,1.8,1528.5,Rainy,No,No,4.1,26065510.5,13,Off Season,25-11-2024,14-03-2025
VS000090,MP008,2023,6,June,Summer,12892,301,13193,6687,6506,1061,957,1320,3378,9815,4.4,832.06,Cloudy,Yes,No,4.4,10977367.58,19.7,Rain Affected,02-04-2025,12-09-2025
VS000091,MP008,2024,7,July,Monsoon,11350,1634,12984,5959,7025,1236,859,1058,4370,8614,5.9,1525.59,Clear,No,No,4.8,19808260.56,22.2,Rain Affected,03-03-2025,24-06-2025
VS000092,MP008,2025,8,August,Monsoon,13765,677,14442,6882,7560,1667,701,1638,3724,10718,2.3,1488.83,Windy,No,No,4.2,21501682.86,2.6,Monsoon Season,15-09-2024,02-08-2025
VS000093,MP008,2024,9,September,Monsoon,16833,345,17178,8047,9131,1082,1362,2572,4810,12368,4.9,1415.02,Rainy,Yes,No,4.5,24307213.56,17.7,Festival Crowd,04-04-2025,20-06-2025
VS000094,MP008,2024,10,October,Autumn,24173,1706,25879,13698,12181,1341,1704,3008,6930,18949,2.6,1562.33,Foggy,No,Yes,3.9,40431538.07,12.6,Normal Traffic,18-10-2025,15-10-2025
VS000095,MP008,2023,11,November,Autumn,25878,1442,27320,13182,14138,2622,1102,2250,10233,17087,3.3,1202.44,Windy,No,No,4.5,32850660.8,25,Holiday Rush,20-11-2023,12-05-2025
VS000096,MP008,2024,12,December,Winter,40972,2374,43346,20164,23182,3338,3201,4614,13664,29682,3,1201.77,Rainy,No,No,3.9,52091922.42,-6,Winter Vacation,03-11-2023,06-08-2025
VS000097,MP009,2023,1,January,Winter,29266,2669,31935,16577,15358,1908,2641,4733,9708,22227,2,1693.16,Windy,No,No,4.3,54071064.6,-19.7,Peak Season,09-11-2024,21-07-2025
VS000098,MP009,2024,2,February,Winter,29288,3731,33019,15858,17161,3193,3213,2870,12161,20858,5.7,888.23,Rainy,Yes,No,4,29328466.37,-8.7,Weekend Rush,20-01-2024,06-11-2025
VS000099,MP009,2025,3,March,Spring,27428,1279,28707,14547,14160,1905,1722,3763,10052,18655,3.2,1314.38,Foggy,No,Yes,3.9,37731906.66,17.9,Normal Traffic,22-08-2023,02-03-2025
VS000100,MP009,2025,4,April,Spring,25699,1418,27117,12937,14180,3001,1986,3581,6894,20223,4.1,1557.6,Sunny,Yes,Yes,4.5,42237439.2,21.1,Festival Crowd,21-03-2025,23-11-2025
VS000101,MP009,2023,5,May,Summer,20373,893,21266,11107,10159,1561,1243,1711,7770,13496,1.7,1120.71,Windy,Yes,No,3.9,23833018.86,12.9,Rain Affected,05-06-2024,14-02-2025
VS000102,MP009,2024,6,June,Summer,13023,1799,14822,6882,7940,1552,1452,1539,4763,10059,5.6,944.24,Foggy,Yes,No,3.9,13995525.28,-14.1,Festival Crowd,18-12-2025,07-08-2025
VS000103,MP009,2025,7,July,Monsoon,14997,605,15602,8011,7591,1139,1478,1492,4314,11288,5.4,1264.49,Windy,Yes,No,4.6,19728572.98,-7.9,Monsoon Season,01-04-2025,05-07-2025
VS000104,MP009,2023,8,August,Monsoon,10220,1124,11344,6188,5156,1327,523,1649,4059,7285,5.1,1391.76,Windy,Yes,No,4.1,15788125.44,16,Monsoon Season,09-02-2024,24-06-2025
VS000105,MP009,2024,9,September,Monsoon,12620,941,13561,7405,6156,1190,1138,1763,3860,9701,3.4,1284.22,Cloudy,Yes,No,4.3,17415307.42,-0.9,Normal Traffic,10-05-2023,05-08-2025
VS000106,MP009,2024,10,October,Autumn,28617,3845,32462,15519,16943,3651,2622,4197,8293,24169,5.6,898.83,Windy,No,No,4.6,29177819.46,21.4,Normal Traffic,23-01-2023,19-08-2025
VS000107,MP009,2023,11,November,Autumn,24985,3510,28495,13558,14937,1679,2313,3222,9114,19381,3.4,1500.64,,No,Yes,4.5,42760736.8,-3.5,Off Season,05-11-2024,19-10-2025
VS000108,MP009,2024,12,December,Winter,31868,3435,35303,17030,18273,1998,3084,3393,13695,21608,5.6,1320.17,Rainy,No,No,4.7,46605961.51,7.3,New Year Rush,04-07-2023,24-04-2025
VS000109,MP010,2023,1,January,Winter,34708,2960,37668,19684,17984,4166,3632,3442,12258,25410,4.7,1626.82,Cloudy,No,No,4.8,61279055.76,-18.4,Winter Vacation,14-06-2023,17-05-2025
VS000110,MP010,2025,2,Febauryruaury,Winter,26474,1780,28254,15013,13241,3094,2177,4190,7280,20974,4,801.17,Cloudy,No,No,4.8,22636257.18,29.2,Holiday Rush,05-11-2023,13-01-2025
VS000111,MP010,2023,3,March,Spring,30426,1534,31960,17328,14632,3614,1492,2952,10955,21005,5.3,1519.49,Cloudy,No,No,4.3,48562900.4,20.3,Holiday Rush,06-01-2025,08-10-2025
VS000112,MP010,2025,4,April,Spring,25786,2012,27798,14013,13785,2923,1627,3826,9599,18199,2.9,946.05,Cloudy,No,Yes,3.9,26298297.9,7.2,Normal Traffic,10-04-2024,08-11-2025
VS000113,MP010,2025,5,May,Summer,20895,1537,22432,10794,11638,2198,1375,1805,8298,14134,2.6,923.86,Rainy,No,No,3.9,20724027.52,16.4,Off Season,23-02-2023,17-06-2025
VS000114,MP010,2023,6,June,Summer,16655,2262,18917,9491,9426,1919,831,1944,6332,12585,5.8,1450.85,Rainy,Yes,No,4.4,27445729.45,-18.9,Holiday Rush,01-08-2025,02-12-2025
VS000115,MP010,2024,7,July,Monsoon,12532,838,13370,6492,6878,1260,957,1153,4239,9131,3.9,1436.44,Rainy,Yes,No,6.1,19205202.8,-18.9,Monsoon Season,06-03-2025,07-12-2025
VS000116,MP010,2024,8,August,Monsoon,11670,1485,13155,6711,6444,1316,993,1312,3727,9428,2,1372.44,Windy,No,No,4.4,18054448.2,-6.6,Monsoon Season,15-06-2024,07-12-2025
VS000117,MP010,2024,9,September,Monsoon,13608,496,14104,6448,7656,1348,1301,1760,4782,9322,3.3,1345.5,Sunny,No,No,4.6,18976932,-8.1,Holiday Rush,23-11-2024,02-04-2025
VS000118,MP010,2023,10,October,Autumn,22225,2635,24860,12239,12621,1696,1925,2572,9259,15601,6,1480.46,Rainy,Yes,No,4.7,36804235.6,29.1,Off Season,11-12-2025,25-05-2025
VS000119,MP010,2023,11,November,Autumn,33069,2756,35825,18730,17095,3799,2088,4455,13973,21852,3,1292.92,Clear,Yes,Yes,4.4,46318859,-4.6,Holiday Rush,08-02-2024,09-09-2025
VS000120,MP010,2024,12,December,Winter,39223,2257,41480,21767,19713,2555,2917,5176,14837,26643,3.3,1270.62,Sunny,Yes,No,4.5,6528664.99,16.9,Peak Season,11-08-2023,11-02-2025
VS000121,MP011,2025,1,January,Winter,31976,4286,36262,16652,19610,2784,2809,5300,10178,26084,2.3,1020.59,Clear,No,No,4.2,37008634.58,-4.9,Winter Vacation,08-08-2023,13-07-2025
VS000122,MP011,2024,2,February,Winter,37149,2699,39848,18813,21035,2914,3783,3494,10322,29526,4.9,1660.82,Foggy,No,No,4.8,66180355.36,12.8,Rain Affected,16-02-2023,15-03-2025
VS000123,MP011,2023,3,March,Spring,28925,924,29849,15862,13987,2272,2239,3234,10561,19288,3.3,1381.84,Foggy,No,No,4.7,41246542.16,-13.8,Holiday Rush,12-07-2023,11-03-2025
VS000124,MP011,2023,4,April,Spring,27973,4111,32084,15465,16619,2889,2798,3761,8379,23705,3.7,1618.08,Foggy,No,Yes,4.2,51914478.72,8.4,Off Season,02-07-2024,13-04-2025
VS000125,MP011,2025,5,May,Summer,20126,1258,21384,11616,9768,2562,1942,2223,6823,14561,2.7,1002.12,Sunny ,No,No,3.9,21429334.08,32.9,Weekend Rush ,22-05-2025,11-08-2025
VS000126,MP011,2024,6,June,Summer,17997,1689,19686,9596,10090,1304,1673,1777,5595,14091,2.8,929.84,Windy,Yes,No,4.9,18304830.24,-0.3,Rain Affected,04-12-2025,16-12-2025
VS000127,MP011,2023,7,July,Monsoon,10715,1070,11785,6420,5365,706,785,1164,3290,8495,5.3,1762.98,Sunny,Yes,No,4.4,20776719.3,-1.6,Heavy Rain,15-09-2023,16-07-2025
VS000128,MP011,2025,8,August,Monsoon,11606,783,12389,6532,5857,904,594,1030,3957,8432,3.1,1387.63,Cloudy,Yes,No,3.9,17191348.07,11.1,Monsoon Season,04-09-2024,24-05-2025
VS000129,MP011,2024,9,September,Monsoon,17883,1187,19070,8891,10179,1775,1877,2043,6048,13022,3.2,1522.36,Cloudy,No,No,4.2,29031405.2,15.9,Off Season,12-01-2024,21-01-2025
VS000130,MP011,2025,10,October,Autumn,20681,2268,22949,11323,11626,1591,979,3380,5867,17082,2.1,1569.69,Windy,Yes,Yes,3.8,36022815.81,12.4,Peak Season,21-11-2024,11-02-2025
