Restaurant_ID,Place_ID,Restaurant_Name,Restaurant_Type,Cuisine,Average_Rating,Total_Reviews,Average_Cost_For_Two_INR,Distance_From_Place_KM,District,Address,Latitude,Longitude,Opening_Time,Closing_Time,Seating_Capacity,Indoor_Seating,Outdoor_Seating,Takeaway,Home_Delivery,Online_Booking,Vegetarian,Vegan,Non_Vegetarian,Local_Manipuri_Food,Parking,Wheelchair_Accessible,Family_Friendly,Payment_Method,Phone_Number,Email,Official_Website,Image_URL,Status,Created_Date,Updated_Date
RS063,MP051,Heritage View,Tea House,Tibetan,4.8,3448,2417,13.6,Chandel,"Hill Side 73, Chandel, Manipur",25.109,94.018,07:00 Ayuk,12:00 Ayuk,246,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Debit Card,-217490,info@restaurant711@hotmail.com,https://www.restaurant.com,https://example.com/rest63.jpg,Open,18-11-2023,22-06-2025
RS040,MP033,Valley Food Court,Fast Food,Tibetan,3.5,1848,1539,11.7,Ukhrul,"Airport Road 84, Ukhrul, Manipur",24.7427,93.6619,08:00 Ayuk,09:00 Nungthil,297,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Credit Card,-303888,info@restaurant345@restaurant.in,https://www.restaurant.com,https://example.com/rest40.jpg,Open,13-11-2023,10-09-2026
RS069,MP022,Valley Garden,Food Court,"Manipuri, Indian",4.7,5129,2766,10.7,Kakching,"Airport Road 5, Kakching, Manipur",24.0223,93.9927,07:00 Ayuk,12:00 Ayuk,61,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,UPI,,,NULL,https://example.com/rest69.jpg,Under Renovation,02-06-2024,22-09-2026
RS143,MP019,Kangla Diner,Fast Food,Tibetan,2.8,3342,2445,4.9,Tamenglong,"Market Street 97, Tamenglong, Manipur",25.3192,93.5645,08:00 Ayuk,10:00 Nungthil,236,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Net Banking,-398430,info@restaurant705@yahoo.com,NULL,https://example.com/rest143.jpg,Temporarily Closed,19-06-2025,16-06-2025
RS003,MP009,Tharon Spot,Eco Cafe,"Indian, Chinese",5,5233,2325,4.2,Kakching,"Airport Road 100, Kakching, Manipur",24.3793,93.9391,09:00 Ayuk,08:00 Nungthil,143,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Digital Wallet,-939446,info@restaurant31@yahoo.com,https://www.restaurant.com,https://example.com/rest3.jpg,Under Renovation,07-09-2025,10-11-2025
RS203,MP009,Tharon Spot,Eco Cafe,"Indian, Chinese",5,5233,2325,4.2,Kakching,"Airport Road 100, Kakching, Manipur",24.3793,93.9391,09:00 Ayuk,08:00 Nungthil,143,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Digital Wallet,-939446,info@restaurant31@yahoo.com,https://www.restaurant.com,https://example.com/rest3.jpg,Under Renovation,07-09-2025,10-11-2025
RS200,MP050,Dzuko Joint 1,Fine Dining,Cafe,3.1,1318,1932,7.7,Noney,"Hill Side 98, Noney, Manipur",24.5852,94.4341,11:00 Ayuk,09:00 Nungthil,107,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Net Banking,-240329,info@restaurant52@gmail.com,NULL,https://example.com/rest200.jpg,Under Renovation,02-05-2025,21-05-2025
RS015,MP041,Green Inn,Street Food,"Vegetarian, Fast Food",2.6,272,1472,3.4,Churachandpur,"Airport Road 26, Churachandpur, Manipur",24.7033,93.1603,07:00 Ayuk,12:00 Ayuk,239,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,All,-7976,info@restaurant658@hotmail.com,https://www.restaurant.com,https://example.com/rest15.jpg,Under Renovation,15-02-2025,06-12-2025
RS111,MP009,Bamboo House,Bakery,"Vegetarian, Fast Food",3.3,381,1438,4,Bishnupur,"Airport Road 14, Bishnupur, Manipur",24.0978,93.1871,10:00 Ayuk,10:00 Nungthil,270,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,All,-988530,info@restaurant792@manipurfoods.com,https://www.restaurant.com,https://example.com/rest111.jpg,Temporarily Closed,13-09-2025,14-05-2025
RS044,MP052,Bamboo Taste,Family Restaurant,"Vegetarian, Fast Food",4.5,1198,2276,11.8,Noney,"Lake Front 29, Noney, Manipur",24.5826,93.1375,08:00 Ayuk,11:00 Nungthil,21,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Credit Card,-364129,info@restaurant638@gmail.com,NULL,https://example.com/rest44.jpg,Under Renovation,07-07-2025,01-12-2025
RS187,MP008,Tharon Garden,Bakery,"Manipuri, Chinese",2.8,1982,2859,10.5,Churachandpur,"Market Street 94, Churachandpur, Manipur",24.6503,93.9792,10:00 Ayuk,09:00 Nungthil,108,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,All,-815009,info@restaurant706@restaurant.in,NULL,https://example.com/rest187.jpg,Under Renovation,07-06-2024,19-06-2025
RS043,MP038,Keibul Bites,Cafe,"Vegetarian, Fast Food",4.5,2136,1742,6,Ukhrul,"Main Road 24, Ukhrul, Manipur",24.023,93.5751,10:00 Ayuk,10:00 Nungthil,193,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Debit Card,-827507,info@restaurant.com,https://www.restaurant.com,https://example.com/rest43.jpg,Temporarily Closed,24-05-2024,03-09-2025
RS183,MP067,Heritage Diner 1,Street Food,"Vegetarian, Fast Food",3.1,1341,409,8.4,Bishnupur,"Temple Road 51, Bishnupur, Manipur",25.3989,93.6436,11:00 Ayuk,11:00 Nungthil,222,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Credit Card,-328019,info@restaurant.com,https://www.restaurant.com,https://example.com/rest183.jpg,Under Renovation,13-01-2024,09-12-2025
RS017,MP041, Mountain Food Court,Eco Cafe,"Manipuri, Chinese",2.6,3257,1002,11.4,Tengnoupal,"Lake Front 87, Tengnoupal, Manipur ",24.7742,93.7061,07:00 Ayuk,11:00 Nungthil,252,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Credit Card,-323783,info@restaurant.com,https://www.restaurant.com,https://example.com/rest17.jpg,Under Renovation,18-04-2024,10-04-2026
RS185,MP016,Mountain Food Court 1,Tea House,Chinese,3.8,274,457,6.9,Bishnupur,"Main Road 81, Bishnupur, Manipur",24.0781,93.4735,08:00 Ayuk,12:00 Ayuk,283,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,UPI,-967769,info@restaurant.com,https://www.restaurant.com,https://example.com/rest185.jpg,Under Renovation,21-02-2023,15-02-2026
RS128,MP037,Heritage Delight,Tea House,Vegetarian,3.3,350,1322,9.2,Kakching,"Market Street 47, Kakching, Manipur",24.841,94.1465,11:00 Ayuk,10:00 Nungthil,157,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Net Banking,-541323,info@restaurant685@tourism.in,https://www.restaurant.com,https://example.com/rest128.jpg,Open,05-01-2024,16-07-2025
RS031,MP036,Heritage Flavours,Eco Cafe,Fusion,5.7,1503,2158,8.4,Churachandpur,"Hill Side 23, Churachandpur, Manipur",24.2059,94.4694,09:00 Ayuk,11:00 Nungthil,163,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Debit Card,-836191,info@restaurant521@yahoo.com,https://www.restaurant.com,https://example.com/rest31.jpg,Under Renovation,07-04-2025,12-05-2025
RS186,MP031,Orchid Taste,Tea House,Fast Food,5,4088,2687,10.9,Bishnupur,"Airport Road 15, Bishnupur, Manipur",24.0084,94.0428,09:00 Ayuk,12:00 Ayuk,61,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,"Cash, UPI",-625884,info@restaurant774@hotmail.com,https://www.restaurant.com,https://example.com/rest186.jpg,Temporarily Closed,06-03-2025,07-01-2026
RS050,MP065,Moira Diner,Restaurant,"Continental, Cafe",3.6,2838,690,1.1,Kamjong,"Airport Road 79, Kamjong, Manipur",24.2414,94.1508,08:00 Ayuk,08:00 Nungthil,156,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,All,-820846,info@restaurant220@restaurant.in,https://www.restaurant.com,https://example.com/rest50.jpg,Temporarily Closed,03-11-2024,22-05-2026
RS105,MP055,Lake House,Eco Cafe,"Manipuri, Indian",4,2459,978,6.9,Tamenglong,"Airport Road 86, Tamenglong, Manipur",25.3753,93.1858,07:00 Ayuk,09:00 Nungthil,295,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Digital Wallet,-243187,info@restaurant.com,https://www.restaurant.com,https://example.com/rest105.jpg,Temporarily Closed,09-10-2023,14-05-2026
RS102,MP008,Kangla Flavours,Bakery,Fast Food,2.8,1423,2391,4.3,Imphal East,"Main Road 77, Imphal East, Manipur",24.516,94.2927,09:00 Ayuk,09:00 Nungthil,268,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Digital Wallet,-136362,info@restaurant301@hotmail.com,https://www.restaurant.com,https://example.com/rest102.jpg,Temporarily Closed,10-07-2023,05-09-2025
RS087,MP066,Valley Kitchen 1,Tea House,Thai,4.8,1240,2712,10.1,TENGNOUPAL,"Airport Road 85, Tengnoupal, Manipur",24.3112,93.3672,07:00 Ayuk,11:00 Nungthil,245,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Credit Card,-522066,info@restaurant355@restaurant.in,https://www.restaurant.com,https://example.com/rest87.jpg,Open,06-09-2023,17-07-2026
RS054,MP056,Ima Kitchen 1,Fine Dining,Bakery,2.6,1887,2123,1.6,Ukhrul,"Market Street 60, Ukhrul, Manipur",24.1174,93.1235,08:00 Ayuk,11:00 Nungthil,39,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Debit Card,-481150,info@restaurant49@yahoo.com,https://www.restaurant.com,https://example.com/rest54.jpg,Temporarily Closed,08-10-2023,04-02-2025
RS122,MP013,Lake Spot,Cafe,Bakery,3.2,4285,1000,4.8,Senapati,"Hill Side 99, Senapati, Manipur",24.1708,93.4753,08:00 Ayuk,09:00 Nungthil,183,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Debit Card,-308683,info@restaurant340@hotmail.com,https://www.restaurant.com,https://example.com/rest122.jpg,Open,02-02-2024,10-02-2025
RS202,MP059,Santhei Inn,Restaurant,Indian,4.3,3922,648,8,Jiribam,"Main Road 44, Jiribam, Manipur",25.3439,93.0704,09:00 Ayuk,10:00 Nungthil,179,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Cash,-285718,info@restaurant632@gmail.com,https://www.restaurant.com,https://example.com/rest2.jpg,Temporarily Closed,04-01-2024,14-04-2026
RS201,MP015,Shirui Delight,Family Restaurant,"Manipuri, Indian",3.2,4165,2345,2.6,Bishnupur,"Main Road 35, Bishnupur, Manipur",25.1674,93.7299,08:00 Ayuk,11:00 Nungthil,218,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,All,-551924,info@restaurant819@hotmail.com,https://www.restaurant.com,https://example.com/rest1.jpg,Open,23-04-2023,15-06-2025
RS166,MP008,Eco Spot 1,Street Food,"Manipuri, Indian",4.1,4550,2344,2.4,Kakching,"Main Road 44, Kakching, Manipur",25.3675,93.3191,07:00 Ayuk,12:00 Ayuk,209,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,UPI,-425463,info@restaurant.com,NULL,https://example.com/rest166.jpg,Temporarily Closed,18-03-2024,18-02-2025
RS118,MP036,Green Delight,Food Court,Continental,3,4660,2560,1.4,Imphal West,"Main Road 82, Imphal West, Manipur",24.5603,93.3523,09:00 Ayuk,10:00 Nungthil,281,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,"Cash, UPI",-305578,info@restaurant115@gmail.com,https://www.restaurant.com,https://example.com/rest118.jpg,Open,02-10-2024,23-08-2026
RS042,MP017,Green House,Fast Food,Chinese,3.1,5191,2028,9.8,Pherzawl,"Lake Front 95, Pherzawl, Manipur",25.0436,93.7592,10:00 Ayuk,08:00 Nungthil,198,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Debit Card,-925720,info@restaurant273@tourism.in,https://www.restaurant.com,https://example.com/rest42.jpg,Under Renovation,03-11-2024,02-08-2025
RS120,MP038,Spice Flavours,Restaurant,"Indian, Chinese",4.3,4662,1852,9.3,Chandel,"Lake Front 86, Chandel, Manipur",25.2887,94.3325,08:00 Ayuk,08:00 Nungthil,130,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Digital Wallet,-218245,info@restaurant803@manipurfoods.com,https://www.restaurant.com,https://example.com/rest120.jpg,Temporarily Closed,12-12-2023,09-01-2025
RS168,MP027,Lake Flavours,Restaurant,Chinese,3.6,660,1537,11.5,Kakching,"Airport Road 77, Kakching, Manipur",25.3772,94.3702,07:00 Ayuk,09:00 Nungthil,124,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,UPI,-895894,info@restaurant.com,https://www.restaurant.com,https://example.com/rest168.jpg,Open,21-07-2025,11-06-2025
RS053,MP042,Dzuko Bites 1,Family Restaurant,Tibetan,5,4755,2266,3.9,Noney,"Market Street 82, Noney, Manipur",24.0111,93.5246,07:00 Ayuk,12:00 Ayuk,229,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Net Banking,-123433,info@rbfs,https://www.restaurant.com,https://example.com/rest53.jpg,Open,16-07-2024,21-03-2025
RS090,MP035,Kangla Delight,Family Restaurant,Chinese,3.3,5937,1902,7.9,Senapati,"Market Street 81, Senapati, Manipur",24.5912,93.1106,11:00 Ayuk,12:00 Ayuk,131,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Digital Wallet,-899308,info@restaurant.com,https://www.restaurant.com,https://example.com/rest90.jpg,Open,19-02-2025,18-09-2026
RS167,MP010,Heritage Diner,Bakery,Fast Food,4.6,3759,2692,13.2,Kangpokpi,"Market Street 94, Kangpokpi, Manipur",25.0277,93.4049,07:00 Ayuk,11:00 Nungthil,264,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,"Cash, UPI",-464502,info@restaurant933@manipurfoods.com,https://www.restaurant.com,https://example.com/rest167.jpg,Under Renovation,14-05-2025,16-06-2026
RS002,MP059,Santhei Inn,Restaurant,Indian,4.3,3922,648,8,Jiribam,"Main Road 44, Jiribam, Manipur",25.3439,93.0704,09:00 Ayuk,10:00 Nungthil,179,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Cash,-285718,info@restaurant632@gmail.com,https://www.restaurant.com,https://example.com/rest2.jpg,Temporarily Closed,04-01-2024,14-04-2026
RS010,MP057,Royal Delight,Bakery,"Vegetarian, Fast Food",4.2,4038,1146,10.8,Kakching,"Market Street 27, Kakching, Manipur",24.9575,94.39,07:00 Ayuk,11:00 Nungthil,110,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Digital Wallet,-889879,info@restaurant.com,NULL,https://example.com/rest10.jpg,Open,04-03-2024,01-04-2026
RS131,MP009,Valley Spot 1,Family Restaurant,"Indian, Chinese",2.9,3585,2232,12.1,Churachandpur,"Main Road 77, Churachandpur, Manipur",24.9366,93.0127,11:00 Ayuk,10:00 Nungthil,293,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Digital Wallet,-330118,info@restaurant37@manipurfoods.com,https://www.restaurant.com,https://example.com/rest131.jpg,Open,10-08-2023,02-07-2026
RS114,MP030,Tharon House,Tea House,Cafe,4.8,3923,1686,13.2,Churachandpur,"Airport Road 25, Churachandpur, Manipur",24.6526,93.1003,08:00 Ayuk,10:00 Nungthil,126,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Credit Card,-631074,info@restaurant337@gmail.com,https://www.restaurant.com,https://example.com/rest114.jpg,Temporarily Closed,01-03-2024,08-04-2026
RS171,MP049,Dzuko House 1,Fine Dining,"Continental, Cafe",2.5,4795,2933,3,Chandel,"Airport Road 42, Chandel, Manipur",24.5677,93.8007,10:00 Ayuk,12:00 Ayuk,45,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Credit Card,-913185,info@restaurant594@restaurant.in,https://www.restaurant.com,https://example.com/rest171.jpg,Temporarily Closed,05-11-2025,11-02-2025
RS175,MP039,Santhei Diner,Bakery,Indian,4.3,3102,1091,0.2,Thoubal,"Main Road 30, Thoubal, Manipur",24.4598,93.8437,09:00 Ayuk,12:00 Ayuk,243,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Digital Wallet,-307593,info@restaurant372@hotmail.com,https://www.restaurant.com,https://example.com/rest175.jpg,Temporarily Closed,09-10-2024,14-05-2026
RS138,MP048,Dzuko Delight 1,Family Restaurant,Tibetan,5,1445,218,6.9,Tengnoupal,"Lake Front 97, Tengnoupal, Manipur",24.2039,94.0343,10:00 Ayuk,11:00 Nungthil,94,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital Wallet,-951050,info@restaurant953@manipurfoods.com,https://www.restaurant.com,https://example.com/rest138.jpg,Open,05-07-2023,12-09-2026
RS092,MP035,Shirui Cafe,Bakery,Manipuri,4.4,3650,1674,11,Tamenglong,"Hill Side 3, Tamenglong, Manipur",25.349,93.6122,08:00 Ayuk,09:00 Nungthil,140,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Cash,-731642,info@restaurant691@hotmail.com,https://www.restaurant.com,https://example.com/rest92.jpg,Temporarily Closed,02-01-2024,17-11-2025
RS057,MP010, Moira Flavours 1,Food Court,"Manipuri, Chinese",4,672,1966,2.6,Ukhrul,"Main Road 35, Ukhrul, Manipur ",25.1857,93.7455,10:00 Ayuk,09:00 Nungthil,254,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,All,-230489,info@restaurant53@yahoo.com,NULL,https://example.com/rest57.jpg,Under Renovation,17-03-2024,12-04-2025
RS052,MP040,Loktak Food Court,Food Court,Indian,4.4,4029,482,11.2,Jiribam,"Main Road 82, Jiribam, Manipur",24.8754,93.7445,07:00 Ayuk,08:00 Nungthil,205,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,UPI,-261620,info@restaurant3@yahoo.com,https://www.restaurant.com,https://example.com/rest52.jpg,Open,10-04-2025,04-12-2026
RS169,MP050,Classic Taste,Family Restaurant,"Manipuri, Chinese",4.1,4034,863,4.1,Noney,"Main Road 10, Noney, Manipur",24.4672,93.8937,11:00 Ayuk,11:00 Nungthil,161,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Debit Card,-109137,info@restaurant7@manipurfoods.com,https://www.restaurant.com,https://example.com/rest169.jpg,Under Renovation,03-02-2024,24-09-2026
RS045,MP040,Santhei Garden 1,Food Court,"Manipuri, Indian",2.9,1012,335,4,Tengnoupal,"Temple Road 62, Tengnoupal, Manipur",25.3746,93.3335,08:00 Ayuk,12:00 Ayuk,242,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,"Cash, UPI",,,NULL,https://example.com/rest45.jpg,Temporarily Closed,13-03-2025,16-02-2026
RS117,MP005,Santhei Dhaba,Tea House,"Continental, Cafe",3.2,1247,1298,12.7,Chandel,"Lake Front 59, Chandel, Manipur",24.3722,94.1359,08:00 Ayuk,09:00 Nungthil,29,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Debit Card,-979855,info@restaurant.com,https://www.restaurant.com,https://example.com/rest117.jpg,Temporarily Closed,15-10-2024,14-09-2026
RS006,MP040,Moira Cafe,Eco Cafe,Vegetarian,4,2235,770,12,Ukhrul,"Lake Front 44, Ukhrul, Manipur",24.537,93.4453,11:00 Ayuk,12:00 Ayuk,223,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,"Cash, UPI",-849065,info@restaurant688@yahoo.com,https://www.restaurant.com,https://example.com/rest6.jpg,Open,03-12-2024,01-10-2025
RS136,MP044,Spice Joint 1,Eco Cafe,"Manipuri, Chinese",3.1,5066,875,5.7,Kakching,"Main Road 80, Kakching, Manipur",24.6022,93.6506,08:00 Ayuk,12:00 Ayuk,162,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,UPI,-874793,info@restaurant127@manipurfoods.com,https://www.restaurant.com,https://example.com/rest136.jpg,Under Renovation,10-04-2023,05-11-2026
RS083,MP007,Mountain Kitchen,Street Food,"Continental, Cafe",4.4,444,872,2.2,Noney,"Market Street 50, Noney, Manipur",24.1107,93.048,10:00 Ayuk,11:00 Nungthil,300,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Digital Wallet,-765688,info@restaurant78@gmail.com,https://www.restaurant.com,https://example.com/rest83.jpg,Temporarily Closed,18-04-2024,14-08-2025
RS137,MP028,Classic Kitchen 1,Cafe,Vegetarian,3.3,4354,1937,13.3,Chandel,"Temple Road 15, Chandel, Manipur",25.2853,93.9255,11:00 Ayuk,12:00 Ayuk,144,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Digital Wallet,-322713,info@restaurant.com,https://www.restaurant.com,https://example.com/rest137.jpg,Under Renovation,09-10-2024,15-11-2025
RS056,MP002,Heritage Spot,Cafe,Fast Food,4.6,1579,2679,12.3,Kangpokpi,"Airport Road 6, Kangpokpi, Manipur",24.8308,93.2378,07:00 Ayuk,12:00 Ayuk,196,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,All,-832175,info@restaurant495@hotmail.com,NULL,https://example.com/rest56.jpg,Under Renovation,16-12-2024,16-04-2025
RS013,MP068,Eco Dhaba,Street Food,"Manipuri, Indian",4.7,2191,1875,11.7,Kangpokpi,"Hill Side 35, Kangpokpi, Manipur",24.7598,94.0662,07:00 Ayuk,09:00 Nungthil,213,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,"Cash, UPI",-383765,info@ckfc,https://www.restaurant.com,https://example.com/rest13.jpg,Under Renovation,12-05-2025,15-11-2025
RS035,MP048,Royal Cafe,Eco Cafe,Tibetan,4.5,494,2259,14.9,Tengnoupal,"Airport Road 57, Tengnoupal, Manipur",24.4125,93.707,11:00 Ayuk,11:00 Nungthil,30,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,"Cash, UPI",-3474,info@restaurant301@gmail.com,https://www.restaurant.com,https://example.com/rest35.jpg,Temporarily Closed,14-03-2025,18-03-2025
RS178,MP042,Dzuko Kitchen,Eco Cafe,Chinese,3,5003,1626,13.1,Kangpokpi,"Hill Side 81, Kangpokpi, Manipur",24.6606,93.162,08:00 Ayuk,08:00 Nungthil,165,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Debit Card,-778691,info@restaurant640@tourism.in,https://www.restaurant.com,https://example.com/rest178.jpg,Temporarily Closed,18-11-2025,05-02-2025
