Hotel_ID,Place_ID,Hotel_Name,Hotel_Type,Star_Rating,Average_Rating,Total_Reviews,Price_Per_Night_INR,Distance_From_Place_KM,District,Address,Latitude,Longitude,Check_In_Time,Check_Out_Time,Total_Rooms,Available_Rooms,Room_Type,Air_Conditioning,Free_WiFi,Parking,Restaurant,Room_Service,Swimming_Pool,Gym,Spa,Pet_Friendly,Family_Friendly,Wheelchair_Accessible,Airport_Shuttle,Breakfast_Included,Cancellation_Policy,Phone_Number,Email,Official_Website,Image_URL,Status,Created_Date,Updated_Date
HT122,MP002,Inn Boutique,Resort,4,4.8,497,13265,4.8,Pherzawl,"Hill Top 21, Pherzawl, Manipur",24.3394,93.529,01:00 Nungthil,10:00 Ayuk,197,123,Dormitory,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Partial Refund,-811353,info@hotel814@manipurhotels.com,https://www.hotel.com,https://example.com/hotel122.jpg,Temporarily Closed,22-10-2025,02-01-2025
HT089,MP046,Retreat Garden,Homestay,5,5,409,12499,8.7,Kamjong,"Airport Road 50, Kamjong, Manipur",25.4137,93.1678,02:00 Nungthil,11:00 Ayuk,219,83,Standard,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Free Cancellation,-746912,info@hotel175@hotmail.com,https://www.hotel.com,https://example.com/hotel89.jpg,Under Renovation,18-02-2023,22-01-2026
HT073,MP041,Inn View 25,Resort,1,4.2,3577,5814,4.9,Jiribam,"Lake View 78, Jiribam, Manipur",25.4045,93.8085,02:00 Nungthil,12:00 Nungthil,249,96,Family Room,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Partial Refund,-126876,info@hotel473@gmail.com,https://www.hotel.com,https://example.com/hotel73.jpg,Temporarily Closed,11-12-2024,09-09-2025
HT140,MP004, Hotel Plaza 84,Guest House,3,3.7,4125,2415,8.9,Imphal East,"Airport Road 27, Imphal East, Manipur ",24.2075,93.5238,12:00 Nungthil,10:00 Ayuk,118,80,Family Room,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Free Cancellation,-602139,info@hotel.com,NULL,https://example.com/hotel140.jpg,Under Renovation,20-07-2025,02-09-2026
HT085,MP069,Guest House Plaza,Eco Resort,3,2.6,36,2276,12.9,Churachandpur,"Main Road 81, Churachandpur, Manipur",25.4968,94.1158,01:00 Nungthil,11:00 Ayuk,210,63,Suite,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Partial Refund,-785675,info@hotel515@yahoo.com,NULL,https://example.com/hotel85.jpg,Open,22-04-2024,17-10-2026
HT060,MP010,Cottage Heritage 33,Guest House,1,3.7,1952,13738,3.8,Kamjong,"Airport Road 62, Kamjong, Manipur",24.846,93.4766,02:00 Nungthil,12:00 Nungthil,165,6,Dormitory,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Free Cancellation,-325528,info@hotel866@hotmail.com,https://www.hotel.com,https://example.com/hotel60.jpg,Under Renovation,02-08-2024,24-07-2026
HT025,MP033,Retreat Royal,Homestay,1,2.9,1155,14836,1.5,Kamjong,"Airport Road 70, Kamjong, Manipur",24.5066,93.261,12:00 Nungthil,12:00 Nungthil,244,230,Family Room,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Free Cancellation,-130516,info@hotel59@manipurhotels.com,https://www.hotel.com,https://example.com/hotel25.jpg,Under Renovation,02-02-2023,05-03-2026
HT153,MP052,Lodge Lake,Resort,5,3.4,2624,7005,5.3,Kangpokpi,"Market Area 27, Kangpokpi, Manipur",25.1933,93.1057,12:00 Nungthil,11:00 Ayuk,17,17,Standard,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Free Cancellation,-301205,info@hotel21@outlook.com,https://www.hotel.com,https://example.com/hotel3.jpg,Temporarily Closed,13-03-2024,15-06-2026
HT061,MP062,Hotel Tower,Boutique Hotel,2,5,3038,3673,9.1,Jiribam,"Main Road 76, Jiribam, Manipur",25.3455,94.0867,01:00 Nungthil,11:00 Ayuk,145,21,Deluxe,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Partial Refund,-848574,info@hotel.com,https://www.hotel.com,https://example.com/hotel61.jpg,Under Renovation,12-09-2024,02-10-2025
HT044,MP055,Hotel Heritage,Boutique Hotel,4,4.6,521,1024,1.5,Ukhrul,"Main Road 22, Ukhrul, Manipur",24.4907,93.1076,02:00 Nungthil,10:00 Ayuk,145,103,Dormitory,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Partial Refund,-797472,info@hotel805@tourism.in,NULL,https://example.com/hotel44.jpg,Under Renovation,07-08-2024,09-12-2026
HT027,MP033,Inn View,Heritage Hotel,5,4.5,148,10798,11.8,Chandel,"Market Area 31, Chandel, Manipur",24.7856,93.6031,12:00 Nungthil,12:00 Nungthil,233,84,Suite,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Non Refundable,-849308,info@hotel581@outlook.com,NULL,https://example.com/hotel27.jpg,Temporarily Closed,07-10-2024,13-11-2025
HT112,MP046,Retreat Garden 32,hotel,2,3.9,2355,7091,1.1,Kakching,"Market Area 27, Kakching, Manipur",24.4993,93.1698,01:00 Nungthil,12:00 Nungthil,126,126,Standard,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Partial Refund,-878425,info@hotel394@yahoo.com,https://www.hotel.com,https://example.com/hotel112.jpg,Open,18-09-2024,20-01-2026
HT151,MP048,Cottage View,Resort,5,4.8,3397,1210,3.1,Jiribam,"Main Road 49, Jiribam, Manipur",24.6269,93.6633,02:00 Nungthil,10:00 Ayuk,83,43,Suite,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Partial Refund,-815159,info@hotel.com,https://www.hotel.com,https://example.com/hotel1.jpg,Under Renovation,13-03-2025,24-03-2026
HT022,MP047,Lodge Garden,guest house,2,3.7,141,13936,3.5,Tengnoupal,"Airport Road 77, Tengnoupal, Manipur",24.8008,93.511,01:00 Nungthil,11:00 Ayuk,151,49,Standard,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Partial Refund,-702444,info@hotel261@tourism.in,https://www.hotel.com,https://example.com/hotel22.jpg,Temporarily Closed,23-09-2025,18-03-2026
HT093,MP067,Palace Classic,Hotel,1,3.2,2828,2437,7.7,Noney,"Hill Top 50, Noney, Manipur",24.4723,94.4458,01:00 Nungthil,11:00 Ayuk,79,43,Suite,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Partial Refund,-259475,info@hotel947@gmail.com,https://www.hotel.com,https://example.com/hotel93.jpg,Under Renovation,17-07-2024,03-05-2025
HT114,MP031,Resort Eco 40,Resort,4,3.3,3646,1467,19.5,Tamenglong,"Airport Road 20, Tamenglong, Manipur",25.3559,93.5594,02:00 Nungthil,11:00 Ayuk,142,34,Dormitory,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Partial Refund,-424992,info@hotel.com,https://www.hotel.com,https://example.com/hotel114.jpg,Temporarily Closed,08-10-2025,18-10-2025
HT117,MP025,Resort Eco 59,Homestay,1,3.4,151,3413,3.4,Senapati,"Airport Road 79, Senapati, Manipur",24.5838,93.3782,12:00 Nungthil,11:00 Ayuk,192,75,Dormitory,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Non Refundable,-715680,info@hotel860@tourism.in,https://www.hotel.com,https://example.com/hotel117.jpg,Open,05-10-2024,17-07-2025
HT131,MP027,Camp Grand,Homestay,4,4.6,1286,4002,17.2,Pherzawl,"Market Area 11, Pherzawl, Manipur",25.4874,94.1278,01:00 Nungthil,12:00 Nungthil,113,38,Executive,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Free Cancellation,-984718,info@hotel986@outlook.com,https://www.hotel.com,https://example.com/hotel131.jpg,Open,14-09-2024,09-11-2025
HT152,MP008,Homestay Mountain,Resort,3,4.1,876,912,2.5,Tamenglong,"Main Road 18, Tamenglong, Manipur",25.145,93.5973,12:00 Nungthil,11:00 Ayuk,110,1,Deluxe,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Free Cancellation,-562193,info@hotel.com,NULL,https://example.com/hotel2.jpg,Open,09-06-2024,20-06-2025
HT143,MP014,Lodge Eco 68,Boutique Hotel,5,3.8,2199,1137,8.4,Kamjong,"Market Area 90, Kamjong, Manipur",25.3173,93.0968,01:00 Nungthil,10:00 Ayuk,201,123,Dormitory,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Partial Refund,-907855,info@hotel844@gmail.com,https://www.hotel.com,https://example.com/hotel143.jpg,Open,25-11-2024,17-01-2026
HT042,MP018,Hotel Classic,Heritage Hotel,4,5.6,2866,3211,18,Churachandpur,"Market Area 29, Churachandpur, Manipur",24.9087,94.2741,02:00 Nungthil,12:00 Nungthil,186,4,Dormitory,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Free Cancellation,-544900,info@hotel19@yahoo.com,https://www.hotel.com,https://example.com/hotel42.jpg,Temporarily Closed,17-07-2024,23-03-2025
HT077,MP016,Camp Royal 23,Eco Resort,3,3.5,3515,6028,2.6,Tamenglong,"Main Road 29, Tamenglong, Manipur",24.3041,93.5481,02:00 Nungthil,10:00 Ayuk,88,66,Suite,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Partial Refund,-147764,info@hotel693@gmail.com,https://www.hotel.com,https://example.com/hotel77.jpg,Open,14-02-2025,15-01-2025
HT036,MP014,Resort Eco,Resort,1,4.1,3859,9871,1.8,Noney,"Main Road 10, Noney, Manipur",25.1985,93.8385,02:00 Nungthil,11:00 Ayuk,144,98,Family Room,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Partial Refund,-976119,info@hotel41@hotmail.com,https://www.hotel.com,https://example.com/hotel36.jpg,Under Renovation,10-03-2023,09-02-2025
HT055,MP038,Cottage Mountain,Hotel,5,4.4,1889,6124,12.8,Tengnoupal,"Lake View 21, Tengnoupal, Manipur",25.1265,93.8024,02:00 Nungthil,12:00 Nungthil,51,23,Deluxe,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Non Refundable,-352667,info@hotel241@hotmail.com,NULL,https://example.com/hotel55.jpg,Open,02-06-2024,02-12-2025
HT009,MP007,Camp Heritage,Guest House,3,4.2,4251,10006,19.8,Chandel,"Lake View 25, Chandel, Manipur",25.2279,94.4087,01:00 Nungthil,12:00 Nungthil,81,3,Dormitory,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Partial Refund,-943808,info@hotel.com,https://www.hotel.com,https://example.com/hotel9.jpg,Temporarily Closed,15-01-2023,16-06-2025
HT076,MP057,Camp Royal,Resort,2,4.8,1511,11768,9.6,Churachandpur,"Hill Top 31, Churachandpur, Manipur",25.1799,93.253,02:00 Nungthil,12:00 Nungthil,198,157,Executive,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Non Refundable,-967514,info@hotel.com,https://www.hotel.com,https://example.com/hotel76.jpg,Under Renovation,06-11-2024,09-12-2025
HT107,MP053,Hotel Garden 60,Boutique Hotel,2,4.2,3502,12643,14.1,Noney,"Lake View 62, Noney, Manipur",24.8421,94.3827,01:00 Nungthil,12:00 Nungthil,233,150,Dormitory,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Partial Refund,-807874,info@hotel.com,https://www.hotel.com,https://example.com/hotel107.jpg,Temporarily Closed,11-03-2023,24-05-2025
HT006,MP058,Camp Green,Resort,3,2.7,549,7170,0.3,Imphal East,"Hill Top 50, Imphal East, Manipur",25.2742,93.7223,12:00 Nungthil,11:00 Ayuk,92,53,Standard,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Partial Refund,-147368,info@hotel6@yahoo.com,NULL,https://example.com/hotel6.jpg,Open,02-08-2023,18-01-2025
HT048,MP012,Inn Comfort,Heritage Hotel,2,2.9,94,2238,4.8,Pherzawl,"Airport Road 62, Pherzawl, Manipur",24.5544,93.0022,01:00 Nungthil,12:00 Nungthil,72,22,Deluxe,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Non Refundable,-7679,info@hotel713@hotmail.com,https://www.hotel.com,https://example.com/hotel48.jpg,Temporarily Closed,10-05-2025,15-11-2026
HT097,MP002,Inn View 6,Boutique Hotel,4,2.7,2052,3392,3.5,Kamjong,"Market Area 99, Kamjong, Manipur",24.2556,93.2444,12:00 Nungthil,10:00 Ayuk,104,45,Suite,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Free Cancellation,-189197,info@hotel702@outlook.com,https://www.hotel.com,https://example.com/hotel97.jpg,Under Renovation,25-03-2024,15-04-2026
HT045,MP021,Camp Mountain,Boutique Hotel,1,2.8,1741,1953,1.1,Noney,"Lake View 38, Noney, Manipur",25.2165,93.5602,01:00 Nungthil,12:00 Nungthil,194,110,Family Room,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Free Cancellation,-157663,info@vmeti,https://www.hotel.com,https://example.com/hotel45.jpg,Under Renovation,11-01-2025,08-05-2025
HT001,MP048,Cottage View,Resort,5,4.8,3397,1210,3.1,Jiribam,"Main Road 49, Jiribam, Manipur",24.6269,93.6633,02:00 Nungthil,10:00 Ayuk,83,43,Suite,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Partial Refund,-815159,info@hotel.com,https://www.hotel.com,https://example.com/hotel1.jpg,Under Renovation,13-03-2025,24-03-2026
HT023,MP017,Palace Green,Boutique Hotel,4,3.7,93,4392,15.3,Ukhrul,"Airport Road 90, Ukhrul, Manipur",24.8821,93.2714,12:00 Nungthil,12:00 Nungthil,173,62,Standard,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Free Cancellation,-490047,info@hotel.com,https://www.hotel.com,https://example.com/hotel23.jpg,Open,24-04-2023,06-02-2025
HT049,MP065,Camp Green 47,Resort,3,2.6,4744,14644,17.2,Thoubal,"Main Road 92, Thoubal, Manipur",24.4013,94.0395,01:00 Nungthil,11:00 Ayuk,134,93,Dormitory,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Partial Refund,-714357,info@hotel22@tourism.in,NULL,https://example.com/hotel49.jpg,Open,16-01-2025,18-02-2025
HT078,MP026,Cottage Classic 44,Heritage Hotel,4,3,1802,11128,18.1,Tengnoupal,"Hill Top 78, Tengnoupal, Manipur",24.6543,94.378,02:00 Nungthil,10:00 Ayuk,74,46,Suite,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Partial Refund,-9041,info@hotel597@tourism.in,NULL,https://example.com/hotel78.jpg,Temporarily Closed,09-07-2025,05-10-2026
HT034,MP024,Inn Grand 85,Guest House,5,2.6,4729,12245,19,Ukhrul,"Main Road 8, Ukhrul, Manipur",24.9547,93.2895,12:00 Nungthil,12:00 Nungthil,204,139,Executive,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Partial Refund,-399126,info@hotel814@tourism.in,https://www.hotel.com,https://example.com/hotel34.jpg,Temporarily Closed,21-01-2025,13-01-2026
HT016,MP034,Cottage Heritage,Hotel,5,3.1,1893,13403,16.9,Churachandpur,"Lake View 65, Churachandpur, Manipur",24.9433,94.023,01:00 Nungthil,11:00 Ayuk,67,63,Suite,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Partial Refund,-342968,info@hotel559@gmail.com,https://www.hotel.com,https://example.com/hotel16.jpg,Open,16-06-2024,15-04-2026
HT066,MP054,Guest House Mountain,Homestay,5,4.6,2494,12595,12.6,Kamjong,"Main Road 36, Kamjong, Manipur",24.4771,93.3408,01:00 Nungthil,12:00 Nungthil,53,32,Deluxe,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Non Refundable,-477239,info@hotel425@tourism.in,https://www.hotel.com,https://example.com/hotel66.jpg,Temporarily Closed,05-08-2024,12-02-2025
HT067,MP066,Hotel Tower 55,Resort,5,4.7,3458,9702,11.6,Kakching,"Market Area 99, Kakching, Manipur",25.24,94.027,12:00 Nungthil,10:00 Ayuk,176,149,Standard,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Free Cancellation,-254163,info@hotel260@hotmail.com,https://www.hotel.com,https://example.com/hotel67.jpg,Open,17-06-2023,03-11-2026
HT106,MP022,Palace Garden 77,Boutique Hotel,1,3.2,3995,2408,17.4,Churachandpur,"Airport Road 70, Churachandpur, Manipur",24.859,93.4548,01:00 Nungthil,11:00 Ayuk,244,171,Suite,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Non Refundable,-316231,info@hotel159@tourism.in,https://www.hotel.com,https://example.com/hotel106.jpg,Temporarily Closed,11-08-2023,19-05-2026
HT100,MP035,Hotel Plaza 95,Heritage Hotel,5,2.7,1636,11072,15.4,Noney,"Airport Road 93, Noney, Manipur",25.0337,94.0408,01:00 Nungthil,12:00 Nungthil,187,123,Suite,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Free Cancellation,,,NULL,https://example.com/hotel100.jpg,Under Renovation,09-06-2024,16-09-2026
HT081,MP015,Lodge Lake 72,Hotel,1,3.1,2798,8703,2.5,Chandel,"Airport Road 67, Chandel, Manipur",25.1443,93.9383,12:00 Nungthil,11:00 Ayuk,87,69,Deluxe,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Free Cancellation,-281460,info@hotel.com,https://www.hotel.com,https://example.com/hotel81.jpg,Temporarily Closed,08-04-2023,14-08-2025
HT062,MP034,Lodge Eco,Heritage Hotel,4,4.4,3251,5504,18.1,Churachandpur,"Lake View 58, Churachandpur, Manipur",24.6819,94.1593,02:00 Nungthil,12:00 Nungthil,96,42,Standard,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Partial Refund,-205320,info@hotel848@gmail.com,NULL,https://example.com/hotel62.jpg,Temporarily Closed,01-05-2024,13-02-2026
HT084,MP011,Hotel View 33,Hotel,5,2.7,1872,3409,15.2,Churachandpur,"Hill Top 44, Churachandpur, Manipur",24.2592,94.3504,01:00 Nungthil,10:00 Ayuk,55,29,Family Room,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Partial Refund,-117717,info@hotel843@manipurhotels.com,NULL,https://example.com/hotel84.jpg,Open,23-10-2023,12-10-2025
HT105,MP005,Hotel Lake 8,Lodge,2,4.7,4122,10118,15.6,Kakching,"Lake View 81, Kakching, Manipur",25.1821,93.0052,01:00 Nungthil,10:00 Ayuk,110,69,Executive,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Partial Refund,-384304,info@jzlgk,https://www.hotel.com,https://example.com/hotel105.jpg,Open,18-02-2024,14-09-2025
HT128,MP042,Resort Heritage 54,Homestay,3,4.1,3326,9151,0.2,thoubal,"Lake View 12, Thoubal, Manipur",24.1275,93.2315,02:00 Nungthil,12:00 Nungthil,109,98,Suite,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Non Refundable,-757228,info@hotel91@hotmail.com,https://www.hotel.com,https://example.com/hotel128.jpg,Temporarily Closed,14-09-2023,17-10-2025
HT026,MP013,Palace Mountain,Hotel,4,4.1,305,9318,18.8,Noney,"Airport Road 8, Noney, Manipur",25.0937,93.6826,12:00 Nungthil,12:00 Nungthil,107,73,Deluxe,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Partial Refund,-843985,info@hotel.com,NULL,https://example.com/hotel26.jpg,Under Renovation,17-04-2025,09-07-2026
HT003,MP052,Lodge Lake,Resort,5,3.4,2624,7005,5.3,Kangpokpi,"Market Area 27, Kangpokpi, Manipur",25.1933,93.1057,12:00 Nungthil,11:00 Ayuk,17,17,Standard,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Free Cancellation,-301205,info@hotel21@outlook.com,https://www.hotel.com,https://example.com/hotel3.jpg,Temporarily Closed,13-03-2024,15-06-2026
HT070,MP011,Palace Eco,Boutique Hotel,5,2.6,2319,761,5,Senapati,"Market Area 29, Senapati, Manipur",25.4787,93.9819,02:00 Nungthil,12:00 Nungthil,29,13,Executive,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Non Refundable,,,NULL,https://example.com/hotel70.jpg,Temporarily Closed,13-08-2023,06-10-2026
HT109,MP037,Homestay Park,Resort,5,2.9,4826,10962,2.6,Noney,"Market Area 92, Noney, Manipur",25.1938,93.7883,12:00 Nungthil,12:00 Nungthil,12,8,Suite,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Free Cancellation,-743840,info@hotel517@gmail.com,https://www.hotel.com,https://example.com/hotel109.jpg,Open,18-11-2025,13-01-2025
HT119,MP030,Retreat Eco,Hotel,5,3.1,1668,5397,0.9,Tengnoupal,"Airport Road 14, Tengnoupal, Manipur",25.3118,94.1846,01:00 Nungthil,11:00 Ayuk,207,106,Suite,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Free Cancellation,-627897,info@hotel898@tourism.in,https://www.hotel.com,https://example.com/hotel119.jpg,Open,08-05-2025,08-04-2025
HT104,MP043,Cottage Garden,Hotel,2,4.7,2911,12140,7,Churachandpur,"Market Area 52, Churachandpur, Manipur",25.1496,93.9711,12:00 Nungthil,11:00 Ayuk,234,228,Family Room,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Partial Refund,-380267,info@hotel.com,https://www.hotel.com,https://example.com/hotel104.jpg,Open,12-10-2024,15-08-2026
HT135,MP005,Inn Garden,Homestay,4,4.2,4644,11268,10.9,Kakching,"Market Area 59, Kakching, Manipur",24.0593,94.0165,02:00 Nungthil,12:00 Nungthil,154,66,Executive,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Non Refundable,-397665,info@beupw,https://www.hotel.com,https://example.com/hotel135.jpg,Open,07-07-2024,07-08-2025
HT013,MP017,Camp Plaza,Homestay,1,2.6,1923,2498,0.5,Noney,"Airport Road 27, Noney, Manipur",25.0611,94.169,01:00 Nungthil,11:00 Ayuk,77,1,Dormitory,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Free Cancellation,-378770,info@hotel.com,https://www.hotel.com,https://example.com/hotel13.jpg,Under Renovation,07-05-2025,22-05-2026
HT149,MP007,Cottage Garden 63,Lodge,3,2.5,535,4906,8.3,Thoubal,"Airport Road 57, Thoubal, Manipur",24.8013,93.7499,02:00 Nungthil,11:00 Ayuk,36,10,Family Room,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Non Refundable,-240436,info@hotel675@hotmail.com,https://www.hotel.com,https://example.com/hotel149.jpg,Open,05-08-2025,23-03-2026
