Event_ID,Place_ID,Event_Name,Event_Category,District,Venue,Description,Organizer,Contact_Person,Phone_Number,Email,Official_Website,Latitude,Longitude,Start_Date,End_Date,Start_Time,End_Time,Duration_Days,Season,Expected_Visitors,Registration_Required,Entry_Fee_INR,Maximum_Capacity,Remaining_Capacity,Age_Restriction,Suitable_For,Food_Available,Parking_Available,Wheelchair_Accessible,Emergency_Medical_Service,Security_Available,Event_Status,Image_URL,Created_Date,Updated_Date
EV046,MP017,Dzuko Concert 2026,Adventure,Kamjong,Amphitheatre,"Join us at Amphitheatre for Dzuko Concert 2026, a spectacular Adventure celebration. The event features expert talks, interactive sessions, cultural performances, and plenty of opportunities for photography and exploration.",University,Raj Gupta,-920975,info@dzukoconcert2026.org,https://www.dzukoconcert2026.com,25.0933,93.7542,16-12-2026,23-12-2026,10:00 Ayuk,10:00 Nungthil,7,Winter,41025,No,50,82050,41083,Above 18,"Students, Tourists, Researchers",Yes,No,No,Yes,Yes,Completed,https://example.com/event46.jpg,09-08-2024,19-08-2026
EV022,MP012,Dzuko Tournament 2025,Conference,Imphal East,Meeting Hall,"This Conference event at Meeting Hall is a must-attend for anyone visiting Manipur. Dzuko Tournament 2025 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",District Administration,Raj Thang,-778953,info@dzukotournament2025.org,https://www.dzukotournament2025.com,24.075,94.1755,21-02-2025,02-03-2025,08:00 Ayuk,05:00 Nungthil,9,Winter,14663,Yes,100,29326,15135,None,Everyone,Yes,No,Yes,Yes,No,Postponed,https://example.com/event22.jpg,23-06-2024,03-09-2026
EV004,MP027,Kangla Expo 2025,Handicraft,Tengnoupal,Amphitheatre,"This Handicraft event at Amphitheatre is a must-attend for anyone visiting Manipur. Kangla Expo 2025 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Adventure Club,Usham Kumar,-158016,info@kanglaexpo2025.com,https://www.kanglaexpo2025.com,24.856,93.3437,13-09-2024,21-09-2024,10:00 Ayuk,10:00 Nungthil,8,Monsoon,10702,No,1000,44259,33332,None,"Adventure Lovers, Photographers",No,Yes,No,Yes,No,Completed,https://example.com/event4.jpg,17-02-2023,23-03-2025
EV094,MP013,Orange Workshop 2024,Food,Jiribam,Open Field,"A grand Food event celebrating the rich cultural heritage of Manipur. Orange Workshop 2024 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Peace Foundation,Raj Shimray,-490102,info@jbegd,https://www.orangeworkshop2024.com,24.0821,93.1636,18-03-2025,28-03-2025,11:00 Ayuk,05:00 Nungthil,10,Spring,10478,Yes,500,66374,55744,None,"Researchers, Students",No,No,Yes,No,Yes,Upcoming,https://example.com/event94.jpg,12-09-2025,03-12-2025
EV020,MP031,Classical Utsav 2025,Adventure,Noney,Meeting Hall,"This Adventure event at Meeting Hall is a must-attend for anyone visiting Manipur. Classical Utsav 2025 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Manipur Tourism Department,Wungnao Devi,-635223,info@classicalutsav202594@gmail.com,https://www.classicalutsav2025.com,24.1009,93.5203,08-02-2024,09-02-2024,10:00 Ayuk,05:00 Nungthil,1,Winter,6181,Yes,1000,24810,18550,None,"Students, Tourists, Researchers",No,No,Yes,No,No,Upcoming,https://example.com/event20.jpg,13-04-2025,15-11-2026
EV051,MP069,Tharon Symposium 2026,Adventure,Senapati,Cultural Hall,"A grand Adventure event celebrating the rich cultural heritage of Manipur. Tharon Symposium 2026 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Manipur Tourism Department,Usham Singha,-368121,info@tharonsymposium20269@manipur.in,https://www.tharonsymposium2026.com,24.8641,94.3952,17-10-2025,23-10-2025,09:00 Ayuk,09:00 Nungthil,6,Autumn,1732,No,200,33942,32350,None,"Researchers, Students",Yes,Yes,No,No,No,Completed,https://example.com/event51.jpg,07-01-2025,05-07-2026
EV063,MP021,Sangai Conference 2025,Wildlife,Pherzawl,Main Ground,"A grand Wildlife event celebrating the rich cultural heritage of Manipur. Sangai Conference 2025 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Manipur Cultural Academy,Krishna Rao,,,NULL,25.0833,93.8641,07-07-2026,17-07-2026,08:00 Ayuk,06:00 Nungthil,10,Monsoon,18436,Yes,50,50568,32127,Above 12,"Adventure Lovers, Photographers",No,Yes,No,Yes,No,Cancelled,https://example.com/event63.jpg,04-04-2025,20-07-2026
EV056,MP015,Shirui Mela 2025,Adventure,Imphal East,Amphitheatre,"A grand Adventure event celebrating the rich cultural heritage of Manipur. Shirui Mela 2025 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Wildlife Institute of India,Arjun Singh,-862430,info@agcij,https://www.shiruimela2025.com,24.6001,93.3106,09-08-2025,16-08-2025,11:00 Ayuk,09:00 Nungthil,7,Monsoon,38833,Yes,50,77666,38916,Above 18,"Adventure Lovers, Photographers",Yes,No,Yes,Yes,No,Completed,https://example.com/event56.jpg,01-10-2023,21-03-2025
EV045,MP064,Adventure Fair 2026,Dance,IMPHAL EAST,Cultural Hall,"A grand Dance event celebrating the rich cultural heritage of Manipur. Adventure Fair 2026 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Peace Foundation,Arjun Ningombam,-979664,info@dvzhd,https://www.adventurefair2026.com,24.3896,94.0971,20-12-2025,23-12-2025,06:00 Nungthil,09:00 Nungthil,3,Winter,4775,Yes,500,94102,88963,Above 18,Everyone,No,Yes,Yes,Yes,No,Ongoing,https://example.com/event45.jpg,04-09-2024,11-07-2025
EV078,MP028,Classical Carnival 2025,Conference,Noney,Open Field,"Join us at Open Field for Classical Carnival 2025, a spectacular Conference celebration. The event features expert talks, interactive sessions, cultural performances, and plenty of opportunities for photography and exploration.",Manipur Cultural Academy,Priya Singh,-376167,info@nbklp,https://www.classicalcarnival2025.com,25.0898,93.0404,24-12-2026,30-12-2026,11:00 Ayuk,08:00 Nungthil,6,Winter,5385,No,500,17208,11862,Above 18,Everyone,Yes,No,Yes,Yes,Yes,Upcoming,https://example.com/event78.jpg,15-02-2024,06-12-2025
EV100,MP042,Eco Tournament 2024,Festival,Churachandpur,Main Ground,"This Festival event at Main Ground is a must-attend for anyone visiting Manipur. Eco Tournament 2024 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Adventure Club,Arjun Devi,-935350,info@ullcn,https://www.ecotournament2024.com,24.6116,93.4577,02-07-2024,03-07-2024,06:00 Nungthil,08:00 Nungthil,1,Monsoon,12463,No,200,92285,79840,Above 21,"Tourists, Photographers",Yes,No,No,No,Yes,Postponed,https://example.com/event100.jpg,14-02-2024,15-12-2026
EV049,MP019,Classical Carnival 2024 1,Exhibition,Churachandpur,Cultural Hall,"A grand Exhibition event celebrating the rich cultural heritage of Manipur. Classical Carnival 2024 1 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Manipur Cultural Academy,Leima Devi,-488876,info@classicalcarnival2024127@festival.com,https://www.classicalcarnival20241.com,24.8451,94.0101,10-08-2024,17-08-2024,10:00 Ayuk,06:00 Nungthil,7,Monsoon,23453,Yes,1000,46906,23915,None,Everyone,Yes,Yes,Yes,No,No,Postponed,https://example.com/event49.jpg,08-06-2024,13-08-2026
EV095,MP043, Ras Leela Utsav 2026,Sports,Pherzawl,Open Field,"Join us at Open Field for Ras Leela Utsav 2026, a spectacular Sports celebration. The event features expert talks, interactive sessions, cultural performances, and plenty of opportunities for photography and exploration. ",Private Organizer,Usham Gupta,-759246,info@rasleelautsav2026.com,https://www.rasleelautsav2026.com,24.4753,94.3312,16-09-2024,17-09-2024,06:00 Nungthil,09:00 Nungthil,1,Monsoon,9304,No,0,18608,9207,Above 18,"Students, Tourists, Researchers",Yes,No,Yes,Yes,Yes,Upcoming,https://example.com/event95.jpg,02-12-2024,04-01-2026
EV072,MP035,Tamenglong Utsav 2025,Dance,Chandel,Main Ground,"Join us at Main Ground for Tamenglong Utsav 2025, a spectacular Dance celebration. The event features expert talks, interactive sessions, cultural performances, and plenty of opportunities for photography and exploration.",Manipur Handloom Board,Meena Shimray,-456031,info@yfvxo,NULL,25.174,93.754,09-01-2025,08-01-2025,09:00 Ayuk,06:00 Nungthil,1,Winter,16089,No,50,77025,61059,Above 18,"Researchers, Students",No,Yes,No,No,No,Ongoing,https://example.com/event72.jpg,23-12-2024,21-01-2026
EV042,MP001,Ras Leela Camp 2024,Photography,Chandel,Amphitheatre,"Ras Leela Camp 2024 is a premier Photography event organized to promote tourism in Manipur. The festival includes cultural shows, adventure activities, and food stalls. It provides a platform for local artisans and performers to showcase their talents.",Local Cultural Committee,Wungnao Gupta,-698514,info@rasleelacamp2024.com,https://www.rasleelacamp2024.com,24.319,93.8325,04-05-2025,08-05-2025,09:00 Ayuk,05:00 Nungthil,4,Summer,32761,Yes,0,65522,32596,Above 18,"Families, Senior Citizens",No,No,No,No,Yes,Ongoing,https://example.com/event42.jpg,15-04-2023,03-08-2025
EV014,MP011,Adventure Expo 2026,Eco Tourism,Kamjong,Meeting Hall,"Adventure Expo 2026 is a premier Eco Tourism event organized to promote tourism in Manipur. The festival includes cultural shows, adventure activities, and food stalls. It provides a platform for local artisans and performers to showcase their talents.",Wildlife Institute of India,Arjun Kumar,-278035,info@adventureexpo202681@festival.com,NULL,24.5437,93.532,18-08-2024,24-08-2024,10:00 Ayuk,08:00 Nungthil,6,Monsoon,5935,Yes,500,11870,6316,Above 18,Everyone,No,Yes,No,No,Yes,Upcoming,https://example.com/event14.jpg,01-06-2025,04-01-2026
EV085,MP043,Shirui Concert 2024,Photography,kangpokpi,Open Field,"A grand Photography event celebrating the rich cultural heritage of Manipur. Shirui Concert 2024 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Adventure Club,Priya Sharma,-339306,info@shiruiconcert202471@tourism.in,https://www.shiruiconcert2024.com,24.9176,94.226,04-09-2026,10-09-2026,10:00 Ayuk,06:00 Nungthil,6,Monsoon,5045,Yes,1000,23671,18780,Above 12,"Families, Senior Citizens",No,No,No,No,No,Postponed,https://example.com/event85.jpg,16-02-2023,16-12-2026
EV104,MP027,Kangla Expo 2025,Handicraft,Tengnoupal,Amphitheatre,"This Handicraft event at Amphitheatre is a must-attend for anyone visiting Manipur. Kangla Expo 2025 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Adventure Club,Usham Kumar,-158016,info@kanglaexpo2025.com,https://www.kanglaexpo2025.com,24.856,93.3437,13-09-2024,21-09-2024,10:00 Ayuk,10:00 Nungthil,8,Monsoon,10702,No,1000,44259,33332,None,"Adventure Lovers, Photographers",No,Yes,No,Yes,No,Completed,https://example.com/event4.jpg,17-02-2023,23-03-2025
EV043,MP006,Dzuko Workshop 2025,Sports,Imphal West,Open Field,"A grand Sports event celebrating the rich cultural heritage of Manipur. Dzuko Workshop 2025 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Manipur Cultural Academy,Raj Shimray,,,NULL,24.3107,93.9273,16-09-2026,18-09-2026,10:00 Ayuk,10:00 Nungthil,2,Monsoon,13646,No,1000,27292,13622,Above 12,"Researchers, Students",Yes,Yes,No,Yes,Yes,Cancelled,https://example.com/event43.jpg,17-03-2024,24-04-2026
EV058,MP067,Tharon Festival 2025,Handicraft,Senapati,Meeting Hall,"A grand Handicraft event celebrating the rich cultural heritage of Manipur. Tharon Festival 2025 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",District Administration,Wungnao Sharma,-239618,info@tharonfestival202589@festival.com,https://www.tharonfestival2025.com,24.5168,93.1066,07-04-2026,10-04-2026,09:00 Ayuk,10:00 Nungthil,3,Spring,404,Yes,500,85436,85007,None,Everyone,No,No,No,No,Yes,Ongoing,https://example.com/event58.jpg,05-08-2025,24-05-2026
EV098,MP027,Andro Symposium 2026,Handicraft,Ukhrul,Main Ground,"This Handicraft event at Main Ground is a must-attend for anyone visiting Manipur. Andro Symposium 2026 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Manipur Handloom Board,Wungnao Sharma,-179432,info@androsymposium202626@yahoo.com,NULL,25.3452,93.8957,15-07-2026,24-07-2026,09:00 Ayuk,05:00 Nungthil,9,Monsoon,16130,No,50,55310,39224,Above 12,Everyone,Yes,Yes,No,Yes,Yes,Postponed,https://example.com/event98.jpg,25-12-2023,25-07-2025
EV073,MP021,Manipur Summit 2024 1,Music,Jiribam,Main Ground,"Join us at Main Ground for Manipur Summit 2024 1, a spectacular Music celebration. The event features expert talks, interactive sessions, cultural performances, and plenty of opportunities for photography and exploration.",Peace Foundation,Krishna Devi,-1006048,info@muoqo,NULL,24.0496,94.1866,23-07-2024,27-07-2024,06:00 Nungthil,08:00 Nungthil,4,Monsoon,13347,Yes,50,26694,13748,None,"Researchers, Students",Yes,Yes,No,Yes,Yes,Completed,https://example.com/event73.jpg,22-05-2024,13-08-2026
EV092,MP006,Tamenglong Workshop 2026,Cultural,Kakching,Community Centre,"Join us at Community Centre for Tamenglong Workshop 2026, a spectacular Cultural celebration. The event features expert talks, interactive sessions, cultural performances, and plenty of opportunities for photography and exploration.",University,Raj Ningombam,-865773,info@tamenglongworkshop2026.in,https://www.tamenglongworkshop2026.com,24.2551,93.2741,25-12-2025,22-12-2025,09:00 Ayuk,06:00 Nungthil,6,Winter,22605,Yes,100,78512,55869,Above 21,"Researchers, Students",Yes,Yes,Yes,No,Yes,Upcoming,https://example.com/event92.jpg,18-08-2025,13-08-2026
EV023,MP054,Khongjom Exhibition 2024,Food,Pherzawl,Community Centre,"Khongjom Exhibition 2024 is a premier Food event organized to promote tourism in Manipur. The festival includes cultural shows, adventure activities, and food stalls. It provides a platform for local artisans and performers to showcase their talents.",Peace Foundation,Usham Gupta,,,NULL,24.378,93.5623,18-04-2024,25-04-2024,08:00 Ayuk,05:00 Nungthil,7,Spring,2578,No,1000,56421,54021,Above 12,"Adventure Lovers, Photographers",No,No,No,No,No,Ongoing,https://example.com/event23.jpg,23-11-2024,23-08-2026
EV101,MP008,Heritage Symposium 2026,Music,Ukhrul,Cultural Hall,"A grand Music event celebrating the rich cultural heritage of Manipur. Heritage Symposium 2026 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Manipur Tourism Department,Meena Devi,-158861,info@heritagesymposium202687@event.org,https://www.heritagesymposium2026.com,24.315,94.3677,24-07-2025,01-08-2025,06:00 Nungthil,10:00 Nungthil,8,Monsoon,24825,Yes,0,60212,34995,None,"Tourists, Photographers",Yes,No,No,Yes,No,Ongoing,https://example.com/event1.jpg,12-04-2024,04-04-2026
EV091,MP010,Tamenglong Fair 2024,Cultural,Chandel,Main Ground,"Join us at Main Ground for Tamenglong Fair 2024, a spectacular Cultural celebration. The event features expert talks, interactive sessions, cultural performances, and plenty of opportunities for photography and exploration.",University,Priya Thang,-488074,info@tamenglongfair2024.org,https://www.tamenglongfair2024.com,24.7662,93.2317,22-12-2025,30-12-2025,10:00 Ayuk,06:00 Nungthil,8,Winter,5711,Yes,1000,78341,72499,Above 18,"Tourists, Photographers",Yes,Yes,No,Yes,No,Upcoming,https://example.com/event91.jpg,08-08-2025,07-04-2025
EV016,MP034,Classical Concert 2025,Adventure,Kamjong,Cultural Hall,"A grand Adventure event celebrating the rich cultural heritage of Manipur. Classical Concert 2025 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Manipur Tourism Department,Raj Singh,-401643,info@fcmaw,NULL,25.3994,93.9214,11-09-2026,14-09-2026,08:00 Ayuk,05:00 Nungthil,3,Monsoon,11997,Yes,50,23994,11961,Above 21,"Families, Senior Citizens",Yes,Yes,Yes,Yes,No,Cancelled,https://example.com/event16.jpg,24-02-2024,08-02-2025
EV096,MP004,Classical Expo 2025,Festival,Kangpokpi,Cultural Hall,"Join us at Cultural Hall for Classical Expo 2025, a spectacular Festival celebration. The event features expert talks, interactive sessions, cultural performances, and plenty of opportunities for photography and exploration.",Wildlife Institute of India,Leima Devi,-431984,info@kyigp,https://www.classicalexpo2025.com,24.584,94.4122,03-02-2024,10-02-2024,10:00 Ayuk,05:00 Nungthil,7,Winter,12409,No,1000,24818,12901,Above 18,"Adventure Lovers, Photographers",No,Yes,Yes,Yes,No,Postponed,https://example.com/event96.jpg,09-11-2025,04-06-2025
EV039,MP007,Food Fair 2024,Food,Bishnupur,Open Field,"Join us at Open Field for Food Fair 2024, a spectacular Food celebration. The event features expert talks, interactive sessions, cultural performances, and plenty of opportunities for photography and exploration.",District Administration,Raj Thang,-696370,info@xlobs,NULL,24.087,93.717,18-01-2025,26-01-2025,09:00 Ayuk,08:00 Nungthil,8,Winter,25315,No,500,50630,25343,None,"Children, Families, Tourists",Yes,Yes,Yes,No,Yes,Cancelled,https://example.com/event39.jpg,18-12-2025,07-02-2026
EV017,MP008,Tharon Conference 2026,music,Kakching,Cultural Hall,"This Music event at Cultural Hall is a must-attend for anyone visiting Manipur. Tharon Conference 2026 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Adventure Club,Krishna Sharma,-991619,info@tharonconference202633@festival.com,https://www.tharonconference2026.com,24.7708,94.4128,01-02-2024,05-02-2024,09:00 Ayuk,09:00 Nungthil,4,Winter,14232,Yes,500,65518,51024,Above 18,Everyone,Yes,Yes,Yes,Yes,Yes,Completed,https://example.com/event17.jpg,04-05-2023,11-11-2026
EV068,MP007,Classical Carnival 2026,Adventure,Ukhrul,Amphitheatre,"A grand Adventure event celebrating the rich cultural heritage of Manipur. Classical Carnival 2026 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",NGO,Usham Devi,,,NULL,24.5465,94.4688,24-12-2025,26-12-2025,08:00 Ayuk,06:00 Nungthil,2,Winter,15150,Yes,100,30300,15339,None,"Adventure Lovers, Photographers",No,No,No,Yes,Yes,Ongoing,https://example.com/event68.jpg,22-11-2023,08-02-2026
